meanTransistionProbabilitiestableFor-output9cluster6of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3759,0.0348,0.003,0.1006,0.0805,0.0263,0.0007,0.0104,0.0433,0.0,0.1489,0.1725
bII,0.1984,0.0032,0.05,0.1,0.0,0.0,0.0,0.181,0.2845,0.1,0.0,0.0329
II,0.1919,0.194,0.0,0.084,0.3341,0.0,0.0,0.0,0.109,0.0,0.0341,0.053
bIII,0.0292,0.0506,0.002,0.1562,0.0763,0.0032,0.0,0.0163,0.0953,0.0,0.1303,0.4404
III,0.0,0.2288,0.2273,0.2214,0.0167,0.0892,0.025,0.125,0.05,0.0,0.0,0.0
IV,0.2381,0.0333,0.0312,0.176,0.1913,0.0006,0.0,0.0136,0.0691,0.0,0.1448,0.0941
bV,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0
V,0.4682,0.0122,0.0139,0.1183,0.1721,0.0136,0.0,0.0,0.0024,0.0,0.1545,0.0214
bVI,0.0565,0.0018,0.0,0.0627,0.0968,0.0233,0.0022,0.0,0.0474,0.0036,0.0464,0.6591
VI,0.1205,0.0986,0.0275,0.2308,0.0872,0.1391,0.0,0.0,0.0,0.0,0.104,0.1923
bVII,0.7067,0.0023,0.0,0.0744,0.0107,0.0045,0.0064,0.0059,0.0288,0.0005,0.072,0.0829
VII,0.5,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
