meanTransistionProbabilitiestableFor-output4cluster4of4.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2926,0.0823,0.0348,0.2625,0.139,0.1161,0.0138,0.0032,0.0143,0.0081,0.0037,0.0258
bII,0.2769,0.3556,0.0,0.0602,0.0702,0.0,0.0214,0.0769,0.0556,0.0833,0.0,0.0
II,0.0644,0.0896,0.0332,0.0319,0.7339,0.0201,0.0071,0.0055,0.0018,0.0019,0.005,0.0038
bIII,0.0617,0.2167,0.0294,0.194,0.162,0.0,0.0,0.0065,0.1088,0.0,0.0957,0.1251
III,0.0324,0.0903,0.0815,0.1613,0.0498,0.5343,0.0152,0.0105,0.0104,0.0072,0.0,0.0055
IV,0.357,0.0842,0.0818,0.1746,0.2087,0.0105,0.0013,0.0002,0.0157,0.0145,0.006,0.036
bV,0.158,0.0575,0.0172,0.1612,0.3377,0.0345,0.1394,0.0,0.0345,0.0292,0.0307,0.0
V,0.5643,0.07,0.0288,0.0934,0.1635,0.0463,0.0022,0.0003,0.004,0.0035,0.0038,0.0073
bVI,0.3261,0.0513,0.0,0.0333,0.2132,0.0769,0.002,0.0299,0.0692,0.0082,0.0735,0.1162
VI,0.0861,0.5129,0.0567,0.1425,0.0594,0.1135,0.0094,0.0037,0.0009,0.0,0.0024,0.0117
bVII,0.1391,0.0463,0.0201,0.2873,0.0608,0.2133,0.0201,0.0136,0.0855,0.0,0.0345,0.0699
VII,0.1603,0.0333,0.4863,0.0022,0.0016,0.0495,0.0667,0.0267,0.0333,0.0167,0.0,0.1151
