ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster11of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2679-0.4162,0.0094-0.0945,-0.0059-0.058,0.1424-0.299,0.0689-0.1977,-0.0021-0.0823,0.0-0.0,-0.0005-0.0016,-0.0013-0.0065,-0.001-0.0031,-0.0018-0.0069,0.1001-0.2364
bII,-0.3553-0.7553,0.0-0.0,-0.0592-0.1259,-0.2842-0.6042,0.0-0.0,0.0-0.0,0.0-0.0,-0.0522-0.1989,0.0-0.0,-0.1784-0.685,-0.2641-0.8241,0.0-0.0
II,0.0578-0.2924,0.0739-0.2178,-0.0224-0.1812,0.1472-0.4642,0.1054-0.3091,-0.0231-0.1233,-0.005-0.0145,0.0-0.0,-0.0023-0.0108,0.0-0.0,0.0-0.0,-0.002-0.057
bIII,0.011-0.4318,-0.0322-0.3729,0.0-0.0,-0.0337-0.2582,-0.0517-0.2374,0.0-0.0,-0.0763-0.2097,0.0-0.0,-0.0184-0.1422,-0.0545-0.1498,-0.0447-0.2574,-0.0446-0.2859
III,-0.0077-0.0216,0.1368-0.5532,0.0366-0.2461,-0.0021-0.0245,0.0079-0.3124,0.0032-0.2598,-0.0317-0.254,0.0-0.0,-0.0446-0.2113,0.0-0.0,0.0-0.0,-0.0066-0.0185
IV,0.5004-0.6561,0.0068-0.0374,0.0027-0.0683,0.0726-0.161,0.065-0.1601,-0.0014-0.0602,0.0-0.0,0.0-0.0,-0.0014-0.0397,0.0-0.0,-0.0012-0.0152,0.0343-0.1165
bV,0.0-0.0,0.0-0.0,-0.2802-0.6881,-0.3553-0.7553,0.0-0.0,0.0-0.0,-0.2221-0.4721,-0.2151-0.8572,-0.0888-0.1888,-0.0888-0.1888,-0.0888-0.1888,0.0-0.0
V,0.1399-0.2767,0.0036-0.112,0.0053-0.069,0.1172-0.2719,0.2074-0.3641,0.0224-0.0881,0.0-0.0,-0.0014-0.0043,-0.0066-0.0582,-0.0026-0.0076,-0.0095-0.0928,0.0265-0.1329
bVI,-0.0359-0.2969,0.0-0.0,0.0-0.0,-0.0064-0.0174,-0.0386-0.3005,-0.0574-0.2589,0.0-0.0,-0.0461-0.1972,-0.0668-0.3525,-0.0719-0.2367,0.0039-0.2543,-0.0117-0.4165
VI,-0.0053-0.1465,0.0466-0.3106,-0.0005-0.1675,0.0433-0.3041,0.0514-0.2991,0.011-0.1202,-0.0003-0.001,0.0-0.0,0.0-0.0,0.0-0.0,-0.0391-0.1132,0.0605-0.3703
bVII,0.0163-0.0795,-0.0069-0.0344,0.0-0.0,0.7957-0.9119,0.0053-0.0426,-0.0021-0.0619,-0.0012-0.0094,0.0-0.0,-0.0024-0.0122,0.0-0.0,0.0-0.0,0.0039-0.0396
VII,0.113-0.887,0.0-0.0,-0.0853-0.2103,-0.0853-0.2103,0.0-0.0,-0.0439-0.1365,-0.0292-0.3405,0.0-0.0,-0.0525-0.1294,-0.1706-0.4206,-0.0131-0.0324,0.0-0.0
