ConfidenceIntervalTransitionalProbabilitiestableFor-output8cluster2of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4312-0.5715,0.0002-0.0103,-0.004-0.0569,0.1255-0.2314,0.1166-0.257,0.0062-0.0504,-0.0015-0.0044,-0.0006-0.0018,-0.0014-0.0108,-0.0002-0.0007,0.0-0.0176,0.0101-0.0978
bII,-0.1434-0.3878,0.0-0.0,0.0-0.0,-0.1685-0.7219,-0.2961-0.6294,0.0-0.0,0.0-0.0,-0.1765-0.512,0.0-0.0,-0.3209-0.7654,-0.0395-0.0839,-0.0395-0.0839
II,0.0679-0.4591,0.0019-0.2843,-0.0259-0.0699,-0.0215-0.3962,-0.0156-0.401,-0.041-0.3157,0.0-0.0,-0.0151-0.0408,-0.0032-0.0087,0.0-0.0,0.0-0.0,-0.0453-0.1223
bIII,-0.0247-0.4408,0.0-0.0,0.0-0.0,-0.0172-0.0539,-0.1262-0.3262,0.0-0.0,0.0-0.0,-0.0841-0.2175,0.0062-0.2666,-0.0902-0.233,-0.0212-0.3697,-0.0347-0.4661
III,-0.0336-0.3193,-0.0039-0.4325,0.0075-0.2782,0.0281-0.5147,0.0-0.0,-0.0201-0.4059,0.0-0.0,0.0-0.0,0.0-0.0,-0.0414-0.1129,0.0-0.0,0.0-0.0
IV,0.4404-0.5781,-0.003-0.047,-0.0009-0.0065,0.2018-0.2934,0.0493-0.1089,-0.0002-0.0449,0.0-0.0,-0.0036-0.0107,-0.0013-0.0719,-0.0023-0.0103,-0.0032-0.0504,0.0125-0.0881
bV,-0.137-0.637,0.0-0.0,0.0-0.0,-0.1706-0.4206,-0.1706-0.4206,0.0-0.0,-0.0853-0.2103,-0.1253-0.4864,-0.1706-0.4206,-0.0569-0.1402,-0.0626-0.2432,0.0-0.0
V,0.0325-0.0877,-0.0015-0.0088,-0.0011-0.0168,0.7721-0.8769,0.027-0.0837,0.0004-0.0299,0.0-0.0,0.0-0.0,0.0-0.0,-0.0016-0.0049,-0.0045-0.0134,-0.0092-0.0515
bVI,-0.0005-0.1884,0.0-0.0,0.0-0.0,0.051-0.4894,0.026-0.4549,-0.034-0.0917,0.0-0.0,-0.0302-0.0815,-0.0907-0.2445,-0.0605-0.163,0.0166-0.2636,-0.0562-0.2014
VI,-0.0162-0.1756,-0.0421-0.1481,-0.0455-0.1434,0.064-0.3549,0.1861-0.5687,0.0428-0.2474,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0245-0.07,-0.0365-0.1638
bVII,0.2033-0.5727,0.0-0.0,0.0-0.0,0.0397-0.2113,-0.0375-0.1965,-0.0198-0.0711,0.0-0.0,-0.0452-0.1267,-0.0302-0.223,0.0-0.0,-0.0218-0.2327,0.0327-0.2376
VII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
