ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster8of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2692-0.4621,0.0045-0.056,-0.0049-0.0916,0.1247-0.2809,0.1628-0.4013,0.0068-0.0697,0.0-0.0,-0.001-0.0031,0.0-0.0,0.0-0.0,-0.0048-0.0271,-0.0022-0.0475
bII,-0.1626-0.1904,0.0-0.0,0.0-0.0,-4.6825-5.4825,0.0-0.0,0.0-0.0,0.0-0.0,-2.3689-3.2078,0.0-0.0,-0.6503-0.7615,-0.6503-0.7615,-0.6503-0.7615
II,0.0617-0.3787,0.0206-0.1658,-0.0087-0.1328,0.1232-0.4814,0.1114-0.3471,-0.0177-0.1925,0.0-0.0,0.0-0.0,-0.0018-0.005,-0.0023-0.0067,0.0-0.0,0.0-0.0
bIII,0.0-0.0,-1.1009-1.7676,0.0-0.0,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1573-0.2525,-0.7863-1.2625,0.0-0.0,-0.1573-0.2525
III,-0.0173-0.0937,0.0606-0.4343,0.0176-0.2188,0.0477-0.3739,-0.0326-0.1284,0.1088-0.5105,0.0-0.0,0.0-0.0,-0.0308-0.0864,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.2333-0.4151,0.0034-0.047,0.0042-0.0712,0.1256-0.2433,0.2056-0.4272,0.0246-0.1393,0.0-0.0,0.0-0.0,-0.0034-0.0099,0.0-0.0,0.0-0.0,-0.002-0.0461
bV,0.0-0.0,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,-0.7631-1.7261,0.0-0.0,-0.367-0.5892,-0.2446-0.3928,0.0-0.0
V,0.2332-0.3937,0.0124-0.1068,-0.0078-0.0599,0.2057-0.4195,0.1184-0.2396,0.0313-0.1027,0.0-0.0,0.0-0.0,-0.0017-0.005,0.0-0.0,-0.0034-0.0099,-0.0143-0.0761
bVI,0.0-0.0,0.0-0.0,0.0-0.0,-0.1376-0.2209,-0.0688-0.1105,-0.0688-0.1105,0.0-0.0,-0.367-0.5892,0.0-0.0,-0.7339-1.1784,-0.0688-0.1105,-0.7083-1.8333
VI,-0.0048-0.0308,-0.0016-0.0121,-0.0079-0.0414,-0.0005-0.0696,0.8451-0.9647,-0.0024-0.03,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0122-0.0357
bVII,-0.0321-0.1179,0.0-0.0,-0.1001-0.2667,0.1264-0.6553,-0.0334-0.2876,-0.0322-0.1091,-0.1001-0.2667,0.0-0.0,-0.0077-0.0205,0.0-0.0,-0.0654-0.3699,-0.0266-0.1772
VII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
