ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster9of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4601-0.5999,-0.0001-0.0114,-0.0022-0.0172,0.1487-0.2639,0.1192-0.2414,0.0008-0.0389,0.0-0.0,0.0-0.0,-0.0016-0.0124,-0.0003-0.0008,-0.0006-0.0133,0.0038-0.0609
bII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
II,0.0419-0.536,-0.0138-0.3574,-0.0361-0.0932,-0.0189-0.0489,-0.0249-0.5592,-0.0565-0.4137,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0631-0.1631
bIII,-0.0335-0.628,0.0-0.0,0.0-0.0,-0.0282-0.0806,0.0-0.0,0.0-0.0,0.0-0.0,-0.1378-0.3283,-0.038-0.2441,0.0-0.0,-0.0907-0.4458,-0.0838-0.6592
III,-0.0951-0.7618,-0.189-0.689,-0.1309-0.2975,-0.189-0.689,0.0-0.0,-0.1309-0.2975,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.4785-0.6233,-0.0048-0.0519,-0.0018-0.0052,0.1789-0.2762,0.0527-0.1188,-0.0077-0.0402,0.0-0.0,0.0-0.0,-0.0036-0.0799,-0.0026-0.0118,-0.0094-0.0431,-0.0005-0.0699
bV,-0.4187-1.4187,0.0-0.0,0.0-0.0,-0.5456-1.0456,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.0465-0.13,-0.0021-0.0064,-0.0014-0.0041,0.7622-0.8781,0.0153-0.063,-0.0009-0.0115,0.0-0.0,0.0-0.0,0.0-0.0,-0.0019-0.0056,-0.0052-0.0154,-0.0086-0.068
bVI,-0.0335-0.1145,0.0-0.0,0.0-0.0,-0.0043-0.57,-0.032-0.6828,0.0-0.0,0.0-0.0,0.0-0.0,-0.1706-0.4206,0.0-0.0,-0.0405-0.3025,-0.13-0.3204
VI,-0.0547-0.3085,-0.086-0.2804,-0.1001-0.2667,0.0896-0.5887,-0.013-0.1302,0.0433-0.3797,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1001-0.2667
bVII,0.2796-0.7225,0.0-0.0,0.0-0.0,-0.0229-0.2706,-0.0351-0.3401,0.0-0.0,0.0-0.0,0.0-0.0,-0.0503-0.2589,0.0-0.0,-0.0295-0.1175,-0.0154-0.1587
VII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
