meanTransistionProbabilitiestableFor-output4cluster1of4.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3669,0.0342,0.0167,0.2822,0.1705,0.0293,0.0003,0.0008,0.0295,0.0003,0.0066,0.0553
bII,0.1574,0.0333,0.0111,0.0533,0.0222,0.0,0.0,0.1204,0.0667,0.1865,0.2083,0.1407
II,0.1972,0.1623,0.0663,0.2693,0.1579,0.0657,0.0019,0.0113,0.0178,0.007,0.0,0.0427
bIII,0.1414,0.0757,0.006,0.2864,0.0757,0.0,0.0213,0.0126,0.0962,0.0258,0.1576,0.0978
III,0.0576,0.144,0.1051,0.3068,0.0741,0.2526,0.0222,0.0,0.0333,0.0,0.0025,0.0
IV,0.6916,0.0133,0.0084,0.1549,0.0768,0.0212,0.0,0.0002,0.0065,0.0029,0.0024,0.0185
bV,0.1429,0.0,0.0486,0.1905,0.1905,0.0,0.0298,0.2309,0.0119,0.0278,0.0796,0.0476
V,0.328,0.0305,0.0098,0.3115,0.2069,0.0514,0.0004,0.0003,0.0072,0.0027,0.0151,0.0219
bVI,0.1352,0.0,0.001,0.0531,0.1794,0.0426,0.0057,0.0903,0.1532,0.0533,0.1192,0.1655
VI,0.1738,0.07,0.1003,0.1875,0.265,0.0994,0.0052,0.0,0.0,0.0,0.0212,0.0768
bVII,0.2048,0.0108,0.0,0.5241,0.0965,0.0464,0.0156,0.0,0.0074,0.0,0.0276,0.0611
VII,0.3444,0.0356,0.0,0.0333,0.0333,0.0872,0.1849,0.0,0.0761,0.1333,0.0051,0.0667
