meanTransistionProbabilitiestableFor-output9cluster9of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.6497,0.0293,0.0133,0.0991,0.0873,0.0383,0.0006,0.0017,0.0194,0.0002,0.0229,0.0311
bII,0.3704,0.1271,0.0,0.0327,0.1644,0.0,0.0,0.1447,0.0159,0.0092,0.0906,0.0432
II,0.2087,0.3037,0.072,0.0381,0.1468,0.0545,0.0,0.0719,0.0075,0.011,0.0024,0.0799
bIII,0.1922,0.1049,0.0088,0.0396,0.1012,0.0102,0.0012,0.038,0.233,0.0036,0.1626,0.0986
III,0.0922,0.0995,0.297,0.1738,0.1142,0.1227,0.016,0.006,0.0417,0.0298,0.0,0.0073
IV,0.2525,0.0388,0.0147,0.4307,0.1105,0.0322,0.0,0.0006,0.0526,0.0057,0.0108,0.0441
bV,0.1091,0.1228,0.0,0.2018,0.2895,0.0263,0.0334,0.0175,0.0,0.1416,0.0551,0.0029
V,0.4055,0.0282,0.0248,0.0798,0.3633,0.021,0.0017,0.0006,0.0093,0.0027,0.0287,0.0151
bVI,0.1835,0.0034,0.0008,0.0792,0.2105,0.031,0.0085,0.0897,0.0621,0.0049,0.248,0.076
VI,0.0687,0.1881,0.0378,0.1656,0.0908,0.3571,0.0123,0.0,0.0008,0.0032,0.0202,0.052
bVII,0.1655,0.0121,0.0,0.1071,0.105,0.0441,0.0042,0.0008,0.1454,0.0,0.1273,0.2851
VII,0.1346,0.0385,0.2051,0.0,0.0769,0.1538,0.2276,0.0,0.0,0.0865,0.0769,0.0
