meanTransistionProbabilitiestableFor-output10cluster4of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2759,0.0894,0.0349,0.2127,0.1502,0.1937,0.0031,0.0,0.0013,0.0,0.0182,0.0196
bII,0.4397,0.0357,0.0,0.0,0.0,0.0,0.0,0.2223,0.1071,0.0259,0.0,0.1607
II,0.1649,0.0863,0.1011,0.2922,0.2081,0.0536,0.0202,0.0132,0.0,0.0132,0.0011,0.0462
bIII,0.0089,0.1845,0.0286,0.1071,0.0414,0.0714,0.0,0.0714,0.1994,0.0286,0.2229,0.0179
III,0.0217,0.2352,0.1068,0.2837,0.0373,0.2227,0.0,0.0184,0.0376,0.0172,0.0,0.0172
IV,0.0543,0.0286,0.0187,0.0574,0.8029,0.0123,0.0,0.0,0.0034,0.0,0.0091,0.0133
bV,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0
V,0.6419,0.011,0.0116,0.1329,0.1152,0.059,0.0,0.0053,0.0032,0.0,0.0141,0.0021
bVI,0.2086,0.0,0.0,0.0707,0.3627,0.1111,0.0,0.0556,0.0278,0.0,0.0804,0.0832
VI,0.0988,0.0915,0.0531,0.4997,0.0719,0.1594,0.0093,0.0,0.0028,0.0015,0.0093,0.0
bVII,0.3682,0.0333,0.0,0.0095,0.1354,0.0267,0.075,0.0,0.2,0.0,0.0567,0.0952
VII,0.3542,0.0,0.0217,0.3116,0.2083,0.0,0.0625,0.0,0.0417,0.0,0.0,0.0
