meanTransistionProbabilitiestableFor-output12cluster8of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3656,0.0303,0.0434,0.2028,0.282,0.0383,0.0,0.001,0.0,0.0,0.0112,0.0227
bII,0.0139,0.0,0.0,0.4,0.0,0.0,0.0,0.4194,0.0,0.0556,0.0556,0.0556
II,0.2202,0.0932,0.062,0.3023,0.2293,0.0874,0.0,0.0,0.0016,0.0022,0.0,0.0
bIII,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0476,0.2381,0.0,0.0476
III,0.0382,0.2474,0.1182,0.2108,0.0479,0.3097,0.0,0.0,0.0278,0.0,0.0,0.0
IV,0.3242,0.0252,0.0377,0.1845,0.3164,0.0819,0.0,0.0,0.0033,0.0,0.0,0.022
bV,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.4815,0.0,0.1111,0.0741,0.0
V,0.3135,0.0596,0.026,0.3126,0.179,0.067,0.0,0.0,0.0017,0.0,0.0033,0.0309
bVI,0.0,0.0,0.0,0.0417,0.0208,0.0208,0.0,0.1111,0.0,0.2222,0.0208,0.5625
VI,0.013,0.0053,0.0167,0.0346,0.9049,0.0138,0.0,0.0,0.0,0.0,0.0,0.0118
bVII,0.0429,0.0,0.0833,0.3908,0.1271,0.0385,0.0833,0.0,0.0064,0.0,0.1522,0.0753
VII,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
