meanTransistionProbabilitiestableFor-output10cluster10of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3581,0.0721,0.0189,0.2471,0.0899,0.0421,0.0,0.0006,0.009,0.0009,0.0034,0.1515
bII,0.1667,0.0833,0.0278,0.0,0.0,0.0,0.0,0.1944,0.0,0.2944,0.2333,0.0
II,0.1538,0.1361,0.071,0.1495,0.4166,0.0417,0.0037,0.0,0.0036,0.0,0.0,0.0239
bIII,0.2407,0.1345,0.0,0.0833,0.0865,0.0,0.0526,0.0,0.1282,0.0,0.113,0.1611
III,0.0063,0.1901,0.0939,0.2222,0.1545,0.155,0.1,0.0,0.075,0.0,0.0,0.0
IV,0.5376,0.0341,0.0287,0.1283,0.1686,0.0169,0.0019,0.0006,0.0177,0.0,0.0071,0.0543
bV,0.0,0.0,0.2039,0.2,0.0,0.2,0.125,0.1211,0.05,0.05,0.05,0.0
V,0.3361,0.0497,0.0251,0.1206,0.2903,0.0563,0.0,0.0013,0.0267,0.0023,0.0186,0.0634
bVI,0.1372,0.0667,0.0,0.0051,0.1222,0.0274,0.0051,0.0705,0.2,0.0769,0.1615,0.1274
VI,0.1025,0.2075,0.0787,0.1996,0.0934,0.1024,0.0003,0.0,0.0,0.0,0.0323,0.1834
bVII,0.0412,0.0113,0.0,0.8928,0.0193,0.0068,0.0038,0.0,0.005,0.0,0.0,0.0198
VII,0.4444,0.0,0.1389,0.0556,0.0,0.0411,0.1384,0.0,0.0342,0.1111,0.0085,0.0
