meanTransistionProbabilitiestableFor-output3cluster2of3.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3341,0.0586,0.0165,0.2584,0.1366,0.0838,0.0028,0.0037,0.0259,0.0006,0.0258,0.0488
bII,0.4426,0.0188,0.0,0.037,0.0988,0.0,0.0,0.1635,0.0379,0.0382,0.0425,0.1008
II,0.2833,0.1393,0.0791,0.1877,0.1409,0.0491,0.0069,0.0291,0.0357,0.0045,0.0065,0.0369
bIII,0.0846,0.0804,0.0118,0.273,0.0711,0.0175,0.0,0.0369,0.1354,0.0051,0.1264,0.1525
III,0.0334,0.1954,0.118,0.3,0.0621,0.2164,0.012,0.0185,0.0263,0.009,0.0,0.006
IV,0.2128,0.0483,0.0289,0.1465,0.4381,0.0201,0.0,0.0018,0.0348,0.0008,0.0293,0.0358
bV,0.0,0.0714,0.0714,0.2267,0.2174,0.0,0.0388,0.2,0.0,0.1218,0.0524,0.0
V,0.6511,0.0133,0.0129,0.0865,0.1506,0.0303,0.0,0.0016,0.0073,0.0018,0.0237,0.0093
bVI,0.1416,0.0027,0.0,0.0747,0.2916,0.0306,0.0033,0.0768,0.0314,0.0067,0.0831,0.2574
VI,0.0751,0.0825,0.0703,0.3319,0.1847,0.1765,0.0062,0.0083,0.0017,0.0007,0.0219,0.0384
bVII,0.3172,0.016,0.0108,0.1598,0.1636,0.0487,0.0181,0.0017,0.0752,0.0,0.0861,0.0983
VII,0.279,0.0,0.0944,0.158,0.0833,0.019,0.175,0.0,0.1056,0.0,0.0,0.0857
