ConfidenceIntervalTransitionalProbabilitiestableFor-output5cluster5of5.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3342-0.4393,0.0139-0.0495,-0.0005-0.0055,0.0825-0.1541,0.039-0.1098,-0.0001-0.0365,-0.0005-0.0014,-0.0023-0.0229,0.0261-0.0694,-0.0007-0.0022,0.0754-0.1596,0.1289-0.2406
bII,0.0591-0.5562,-0.0026-0.0072,-0.0414-0.1129,-0.0829-0.2257,0.0-0.0,0.0-0.0,0.0-0.0,-0.0032-0.294,-0.009-0.4385,-0.0829-0.2257,-0.0241-0.0655,-0.0605-0.2504
II,0.1072-0.2965,0.0739-0.2496,0.0-0.0,0.0036-0.1895,0.1313-0.4405,-0.0269-0.1438,0.0-0.0,0.0-0.0,0.0035-0.2118,0.0-0.0,-0.0112-0.0664,-0.0204-0.1408
bIII,0.0315-0.1318,-0.0132-0.0765,-0.0013-0.0038,0.1426-0.3287,0.0058-0.1129,-0.002-0.006,0.0-0.0,-0.0039-0.0408,0.0415-0.1357,0.0-0.0,0.0673-0.2135,0.2273-0.4463
III,-0.0302-0.0815,0.0231-0.4828,0.0526-0.3483,-0.0183-0.3589,-0.0151-0.0408,-0.0031-0.3454,-0.0227-0.0611,-0.0732-0.2655,-0.0453-0.1223,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.1775-0.3197,0.004-0.0566,0.001-0.0661,0.1444-0.2492,0.0961-0.2156,-0.0004-0.0011,0.0-0.0,0.0003-0.0202,0.0586-0.1568,-0.0022-0.0066,0.0626-0.1789,0.042-0.134
bV,-0.3553-0.7553,0.0-0.0,0.0-0.0,-0.0801-1.2801,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.3553-0.7553,0.0-0.0,0.0-0.0,0.0-0.0
V,0.3518-0.5354,-0.0043-0.0204,-0.0048-0.0222,0.1191-0.2844,0.087-0.1973,-0.0011-0.021,0.0-0.0,0.0-0.0,-0.0026-0.0177,0.0-0.0,0.0569-0.1883,0.0115-0.0574
bVI,0.0316-0.1099,-0.0014-0.0041,0.0-0.0,0.0218-0.1297,0.0657-0.1837,-0.0113-0.0492,-0.0017-0.005,-0.0051-0.0293,0.0214-0.1011,-0.0027-0.0081,0.0311-0.095,0.4734-0.6619
VI,-0.0152-0.1918,-0.0001-0.2153,-0.021-0.1112,0.0845-0.4818,-0.0311-0.1562,-0.01-0.2121,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0027-0.1451,0.0341-0.4396
bVII,0.6071-0.7322,-0.0015-0.0047,0.0-0.0,0.04-0.1,0.0027-0.0532,-0.0013-0.0086,-0.0031-0.0116,-0.0-0.008,0.0175-0.0743,-0.0003-0.001,0.0505-0.1192,0.0504-0.1093
VII,-0.4187-1.4187,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
