ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster8of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.1812-0.3018,0.0569-0.1455,0.0362-0.1345,0.1735-0.287,0.1509-0.3104,0.0356-0.1071,-0.0005-0.0015,-0.0001-0.0004,-0.0049-0.0481,0.0-0.0,-0.0002-0.0042,0.0021-0.0181
bII,-0.5456-1.0456,-0.2728-0.5228,0.0-0.0,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0
II,0.1147-0.3023,0.0187-0.1302,0.0452-0.2054,0.086-0.2478,0.1932-0.4009,-0.0012-0.1069,0.0-0.0,0.0-0.0,-0.017-0.08,-0.0128-0.0769,0.0-0.0,-0.0077-0.0305
bIII,-0.0664-0.3391,-0.1001-0.2667,-0.0924-0.2729,-0.078-0.2864,-0.0128-0.1378,0.0-0.0,0.0-0.0,0.0-0.0,-0.0502-0.203,0.0-0.0,-0.0234-0.4905,-0.0407-0.4398
III,-0.0079-0.0235,0.026-0.1092,0.0064-0.0666,0.7024-0.8449,-0.0015-0.061,0.0374-0.1302,0.0-0.0,-0.0009-0.0027,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.2675-0.4023,0.0268-0.0966,0.0189-0.0997,0.1-0.2048,0.2141-0.3752,0.022-0.0819,-0.0021-0.0062,-0.0007-0.0021,-0.0017-0.0123,-0.0017-0.0227,-0.0005-0.0119,-0.0022-0.0298
bV,-0.1451-0.3673,0.0-0.0,0.0-0.0,-0.1451-0.3673,0.0393-0.8496,-0.1451-0.3673,0.0-0.0,0.0-0.0,-0.1451-0.3673,0.0-0.0,0.0-0.0,-0.1451-0.3673
V,0.3459-0.4937,0.035-0.106,0.0028-0.0421,0.1135-0.2124,0.1381-0.2367,0.0677-0.1531,-0.0011-0.0033,0.0-0.0,-0.002-0.0098,0.0-0.0,-0.0022-0.0291,-0.0006-0.0111
bVI,0.0051-0.2172,0.0-0.0,0.0-0.0,-0.0563-0.4563,-0.0651-0.5318,-0.1016-0.5016,-0.0097-0.0251,0.0-0.0,-0.0959-0.3673,-0.027-0.0699,-0.0593-0.2252,-0.0097-0.0251
VI,0.0054-0.1176,0.0551-0.1759,0.1646-0.3643,0.0451-0.1765,0.1708-0.3982,0.0595-0.1964,-0.0044-0.0132,-0.0237-0.0702,0.0-0.0,0.0-0.0,0.0-0.0,-0.003-0.0088
bVII,0.0019-0.2273,-0.0471-0.1305,0.0-0.0,0.13-0.5753,-0.0249-0.2815,-0.0512-0.2387,-0.0458-0.3166,0.0-0.0,-0.0188-0.1361,0.0-0.0,-0.0354-0.0979,-0.0354-0.0979
VII,-0.1163-0.5925,-0.0689-0.1641,-0.118-0.5228,0.0-0.0,0.0-0.0,-0.2067-0.4924,-0.0828-0.3685,0.0-0.0,-0.0689-0.1641,-0.2067-0.4924,0.0-0.0,0.0-0.0
