meanTransistionProbabilitiestableFor-output7cluster6of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.243,0.0845,0.0561,0.3068,0.1092,0.1173,0.0281,0.0033,0.0169,0.012,0.002,0.0185
bII,0.1875,0.375,0.0,0.0,0.125,0.0,0.0,0.0625,0.125,0.125,0.0,0.0
II,0.1497,0.1312,0.0982,0.0307,0.5273,0.0302,0.0148,0.0054,0.0011,0.0,0.0043,0.0019
bIII,0.0296,0.2889,0.0133,0.1016,0.2,0.0,0.0,0.0148,0.1141,0.0029,0.157,0.0778
III,0.0128,0.0512,0.0401,0.0531,0.0171,0.8139,0.0,0.0,0.0066,0.0031,0.0,0.0
IV,0.3428,0.0917,0.1427,0.1661,0.1679,0.0118,0.0014,0.0,0.0053,0.0073,0.0058,0.0558
bV,0.0625,0.0556,0.0,0.3062,0.2189,0.0,0.2953,0.0,0.0,0.029,0.0326,0.0
V,0.5409,0.0343,0.0713,0.0632,0.1996,0.0487,0.0029,0.0,0.005,0.0062,0.0089,0.0087
bVI,0.4716,0.0556,0.0,0.0556,0.125,0.0556,0.0,0.0093,0.0278,0.0179,0.1085,0.0734
VI,0.1254,0.3968,0.0511,0.1821,0.0808,0.1311,0.0165,0.0071,0.0,0.0014,0.0037,0.0014
bVII,0.2224,0.0762,0.0433,0.1177,0.0654,0.22,0.0167,0.0,0.0914,0.0,0.0168,0.11
VII,0.0,0.0694,0.6492,0.0037,0.0166,0.0481,0.0926,0.0,0.0556,0.0,0.0,0.0648
