meanTransistionProbabilitiestableFor-output12cluster11of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3285,0.0579,0.0106,0.2315,0.1357,0.0356,0.0,0.0017,0.0048,0.0011,0.0037,0.1823
bII,0.2667,0.0,0.0333,0.0,0.0667,0.0,0.0,0.0333,0.0,0.2533,0.3467,0.0
II,0.2037,0.1516,0.0855,0.1836,0.2452,0.0869,0.0051,0.0,0.0087,0.0,0.0,0.0296
bIII,0.2288,0.1704,0.0133,0.0789,0.1129,0.0,0.0667,0.0,0.0598,0.0,0.1063,0.163
III,0.0528,0.2534,0.1103,0.0147,0.1922,0.1578,0.1333,0.0,0.0667,0.0,0.0074,0.0071
IV,0.613,0.0235,0.0326,0.1068,0.1079,0.0194,0.0,0.0,0.0181,0.0024,0.0075,0.0648
bV,0.0,0.0,0.2039,0.4,0.0,0.0,0.125,0.1211,0.05,0.05,0.05,0.0
V,0.2338,0.0646,0.0399,0.1655,0.3107,0.0563,0.0006,0.0015,0.0277,0.0027,0.0222,0.0638
bVI,0.1199,0.0,0.0,0.0048,0.1203,0.0313,0.0,0.0661,0.2017,0.0721,0.1442,0.2396
VI,0.0855,0.2096,0.1108,0.1504,0.0505,0.0607,0.0004,0.0,0.0,0.0,0.0549,0.2772
bVII,0.0509,0.0146,0.0,0.8421,0.0234,0.0298,0.006,0.0,0.0053,0.0,0.0098,0.0179
VII,0.4444,0.0,0.0556,0.0556,0.0556,0.0411,0.1384,0.0,0.0897,0.1111,0.0085,0.0
