ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster6of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2055-0.2971,0.0184-0.0745,0.0004-0.0227,0.3791-0.5069,0.1113-0.2032,0.0068-0.0465,-0.0006-0.003,-0.0002-0.0022,0.0066-0.0585,0.0-0.0,0.0007-0.0126,0.0053-0.0247
bII,-0.0577-0.8077,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0512-0.1262,0.0-0.0,-0.0302-0.3853,-0.047-0.3669,-0.137-0.637
II,0.1089-0.3073,0.0311-0.1906,-0.0216-0.118,0.2186-0.5192,0.0192-0.1811,-0.004-0.0116,0.0-0.0,-0.0279-0.0812,-0.0281-0.1614,0.0-0.0,0.0-0.0,-0.0281-0.1614
bIII,0.0205-0.3327,-0.0215-0.3215,-0.0046-0.0129,0.0027-0.1556,-0.0158-0.2117,0.0-0.0,0.0-0.0,-0.0231-0.0822,0.0106-0.2165,-0.0273-0.0773,0.1043-0.4843,-0.0234-0.0663
III,-0.0163-0.0712,-0.0174-0.3751,0.0027-0.2367,0.1613-0.604,-0.0128-0.1403,0.0158-0.2016,-0.0659-0.1835,0.0-0.0,-0.0659-0.1835,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.688-0.7995,-0.0035-0.0473,-0.0054-0.041,0.0482-0.1042,0.0588-0.1222,0.0022-0.0167,0.0-0.0,0.0-0.0,0.0013-0.0087,0.0-0.0,-0.008-0.0301,-0.0017-0.0405
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.2618-0.5951,0.0-0.0,0.0-0.0,0.0-0.0,-0.0753-1.0086,0.0-0.0,0.0-0.0,-0.2198-0.6198,-0.2618-0.5951
V,0.4646-0.6111,0.0063-0.0798,-0.0057-0.0171,0.0729-0.1548,0.1214-0.2318,0.0353-0.1389,0.0-0.0,0.0-0.0,-0.0017-0.0052,-0.001-0.0055,-0.0017-0.0266,-0.0007-0.0058
bVI,0.0063-0.2943,0.0-0.0,-0.0024-0.0067,-0.0161-0.2589,0.0315-0.3118,0.0-0.0,0.0-0.0,-0.0156-0.2617,0.0162-0.1446,-0.0117-0.0618,0.0158-0.1449,0.0574-0.4281
VI,0.0962-0.3711,0.0369-0.2443,0.0296-0.2767,0.0819-0.3243,0.0044-0.1086,0.0299-0.1654,0.0-0.0,-0.0348-0.1015,0.0-0.0,0.0-0.0,-0.0073-0.0296,-0.0104-0.148
bVII,0.1272-0.3995,-0.0031-0.0091,0.0-0.0,0.0394-0.205,0.127-0.4599,0.0167-0.1766,-0.0294-0.1448,0.0-0.0,-0.0116-0.0336,0.0-0.0,-0.0103-0.0823,0.0265-0.1794
VII,-0.1207-0.3271,0.0-0.0,-0.3145-0.505,0.0-0.0,0.0-0.0,-0.3145-0.505,-0.5504-0.8838,0.0-0.0,-0.367-0.5892,0.0-0.0,0.0-0.0,-0.851-1.7081
