ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster10of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2913-0.4249,0.0264-0.1178,0.0068-0.031,0.1748-0.3194,0.0495-0.1303,0.0028-0.0813,0.0-0.0,-0.0004-0.0016,-0.0041-0.0221,-0.0009-0.0028,-0.001-0.0077,0.0869-0.216
bII,-0.2618-0.5951,-0.1309-0.2975,-0.0436-0.0992,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.063-0.4519,0.0-0.0,-0.0486-0.6375,-0.1951-0.6618,0.0-0.0
II,0.0552-0.2525,0.0641-0.2081,-0.0092-0.1512,0.051-0.2479,0.2912-0.5421,-0.0149-0.0983,-0.0038-0.0112,0.0-0.0,-0.0017-0.0089,0.0-0.0,0.0-0.0,0.0007-0.0472
bIII,0.0541-0.4273,-0.0247-0.2937,0.0-0.0,0.008-0.1586,-0.0273-0.2003,0.0-0.0,-0.0579-0.1632,0.0-0.0,0.0303-0.226,0.0-0.0,-0.0125-0.2386,0.0004-0.3219
III,-0.0068-0.0193,0.0264-0.3537,0.0143-0.1734,0.0391-0.4053,0.0111-0.2979,0.0358-0.2742,-0.0282-0.2282,0.0-0.0,-0.0395-0.1895,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.461-0.6142,0.0153-0.0528,-0.0007-0.058,0.0854-0.1713,0.1064-0.2309,0.0002-0.0336,-0.0019-0.0058,-0.0006-0.0019,-0.001-0.0365,0.0-0.0,-0.0005-0.0148,0.0193-0.0893
bV,0.0-0.0,0.0-0.0,-0.2802-0.6881,-0.3553-0.7553,0.0-0.0,-0.3553-0.7553,-0.2221-0.4721,-0.148-0.3901,-0.0888-0.1888,-0.0888-0.1888,-0.0888-0.1888,0.0-0.0
V,0.2526-0.4196,0.0107-0.0888,0.003-0.0472,0.0746-0.1666,0.2216-0.3591,0.0258-0.0868,0.0-0.0,-0.0013-0.0039,-0.0031-0.0565,-0.0023-0.007,-0.0039-0.0411,0.0237-0.1031
bVI,-0.0173-0.2917,-0.0763-0.2097,0.0-0.0,-0.0059-0.0161,-0.0356-0.28,-0.0208-0.0755,-0.0059-0.0161,-0.0425-0.1835,-0.0293-0.4293,-0.0662-0.22,0.0265-0.2965,-0.0295-0.2842
VI,0.0206-0.1843,0.0801-0.335,0.0029-0.1544,0.0795-0.3198,0.0183-0.1685,0.0376-0.1671,-0.0003-0.0009,0.0-0.0,0.0-0.0,0.0-0.0,-0.0336-0.0981,0.0482-0.3185
bVII,0.012-0.0703,-0.0076-0.0303,0.0-0.0,0.8484-0.9371,0.0024-0.0362,-0.0028-0.0164,-0.0011-0.0087,0.0-0.0,-0.0022-0.0123,0.0-0.0,0.0-0.0,0.0032-0.0365
VII,0.0878-0.8011,0.0-0.0,-0.0783-0.3561,-0.0726-0.1837,0.0-0.0,-0.0373-0.1196,-0.0256-0.3023,0.0-0.0,-0.0446-0.113,-0.1451-0.3673,-0.0112-0.0283,0.0-0.0
