meanTransistionProbabilitiestableFor-output10cluster2of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2557,0.0854,0.0546,0.2887,0.1069,0.1327,0.0154,0.0037,0.0191,0.0136,0.0023,0.0196
bII,0.1875,0.375,0.0,0.0,0.125,0.0,0.0,0.0625,0.125,0.125,0.0,0.0
II,0.1478,0.1433,0.0815,0.0259,0.5486,0.0295,0.0036,0.0062,0.0013,0.0,0.0049,0.0022
bIII,0.0296,0.2889,0.0133,0.1016,0.2,0.0,0.0,0.0148,0.1141,0.0029,0.157,0.0778
III,0.0079,0.0477,0.043,0.0355,0.0058,0.8503,0.0,0.0,0.0075,0.0,0.0,0.0
IV,0.3345,0.0977,0.1373,0.1687,0.1752,0.0078,0.0,0.0,0.0059,0.0081,0.0042,0.0593
bV,0.075,0.0667,0.0,0.2674,0.2627,0.0,0.2543,0.0,0.0,0.0348,0.0391,0.0
V,0.5386,0.028,0.0772,0.0606,0.207,0.0455,0.002,0.0,0.0057,0.0064,0.0101,0.0094
bVI,0.4993,0.0588,0.0,0.0588,0.1324,0.0,0.0,0.0098,0.0294,0.0189,0.1148,0.0777
VI,0.1393,0.3852,0.0464,0.2023,0.0555,0.144,0.009,0.0081,0.0,0.0015,0.0041,0.0015
bVII,0.2418,0.0393,0.0471,0.0989,0.0566,0.2391,0.0181,0.0,0.0994,0.0,0.0183,0.1196
VII,0.0,0.0781,0.6563,0.0,0.0156,0.0313,0.0833,0.0,0.0625,0.0,0.0,0.0729
