meanTransistionProbabilitiestableFor-output8cluster5of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.38,0.0291,0.0023,0.1046,0.075,0.0208,0.0005,0.0122,0.0603,0.0009,0.1336,0.174
bII,0.3697,0.0024,0.0385,0.0769,0.0,0.0,0.0,0.195,0.2313,0.0,0.0223,0.0253
II,0.1991,0.1763,0.0,0.1047,0.3037,0.0,0.0,0.0,0.137,0.0,0.031,0.0482
bIII,0.0519,0.0369,0.0015,0.2502,0.0484,0.0023,0.0,0.0215,0.0988,0.0,0.124,0.3614
III,0.0,0.2288,0.2273,0.2214,0.0167,0.0892,0.025,0.125,0.05,0.0,0.0,0.0
IV,0.225,0.0284,0.0236,0.2056,0.1661,0.0004,0.0,0.0094,0.1018,0.0,0.1484,0.0844
bV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.5126,0.0101,0.011,0.0848,0.175,0.0108,0.0,0.0,0.0078,0.0,0.1307,0.0316
bVI,0.0748,0.0015,0.0,0.0437,0.1281,0.0191,0.0018,0.0078,0.0454,0.003,0.0681,0.6065
VI,0.1119,0.0916,0.0255,0.2143,0.081,0.1292,0.0,0.0,0.0,0.0,0.0966,0.25
bVII,0.6467,0.0019,0.0,0.0709,0.032,0.0044,0.0051,0.0054,0.0345,0.0004,0.0958,0.0943
VII,0.5,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
