meanTransistionProbabilitiestableFor-output9cluster2of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3299,0.0535,0.0179,0.2603,0.1282,0.045,0.0,0.0006,0.0083,0.0009,0.0035,0.1449
bII,0.1667,0.0833,0.0278,0.0,0.0,0.0,0.0,0.1944,0.0,0.2944,0.2333,0.0
II,0.1362,0.1277,0.0673,0.2049,0.3947,0.0395,0.0035,0.0,0.0034,0.0,0.0,0.0227
bIII,0.2541,0.142,0.0,0.0602,0.0913,0.0,0.0556,0.0,0.1075,0.0,0.1193,0.1701
III,0.0054,0.2265,0.136,0.1971,0.1344,0.1457,0.087,0.0,0.0652,0.0,0.0,0.0
IV,0.512,0.0296,0.0314,0.1311,0.1744,0.0289,0.0018,0.0006,0.0168,0.0,0.0068,0.0627
bV,0.0,0.0,0.2039,0.2,0.0,0.2,0.125,0.1211,0.05,0.05,0.05,0.0
V,0.3224,0.033,0.023,0.1839,0.27,0.0517,0.0,0.0012,0.0242,0.0021,0.0169,0.0628
bVI,0.1286,0.0625,0.0,0.0048,0.1146,0.0256,0.0048,0.0661,0.1875,0.0721,0.1514,0.1819
VI,0.0963,0.2186,0.0767,0.1888,0.1543,0.0979,0.0003,0.0,0.0,0.0,0.0294,0.1378
bVII,0.0364,0.0033,0.0,0.9119,0.0186,0.0078,0.0036,0.0,0.0048,0.0,0.0,0.0137
VII,0.4444,0.0,0.1389,0.0556,0.0,0.0411,0.1384,0.0,0.0342,0.1111,0.0085,0.0
