meanTransistionProbabilitiestableFor-output8cluster2of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5014,0.0053,0.0264,0.1784,0.1868,0.0283,0.0015,0.0006,0.0047,0.0002,0.0088,0.0539
bII,0.1222,0.0,0.0,0.2767,0.1667,0.0,0.0,0.1678,0.0,0.2222,0.0222,0.0222
II,0.2635,0.1431,0.022,0.1874,0.1927,0.1374,0.0,0.0128,0.0027,0.0,0.0,0.0385
bIII,0.2081,0.0,0.0,0.0184,0.1,0.0,0.0,0.0667,0.1364,0.0714,0.1743,0.2157
III,0.1429,0.2143,0.1429,0.2714,0.0,0.1929,0.0,0.0,0.0,0.0357,0.0,0.0
IV,0.5093,0.022,0.0028,0.2476,0.0791,0.0223,0.0,0.0036,0.0353,0.004,0.0236,0.0503
bV,0.25,0.0,0.0,0.125,0.125,0.0,0.0625,0.1806,0.125,0.0417,0.0903,0.0
V,0.0601,0.0037,0.0079,0.8245,0.0553,0.0151,0.0,0.0,0.0,0.0016,0.0045,0.0211
bVI,0.094,0.0,0.0,0.2702,0.2405,0.0288,0.0,0.0256,0.0769,0.0513,0.1401,0.0726
VI,0.0797,0.053,0.049,0.2095,0.3774,0.1451,0.0,0.0,0.0,0.0,0.0227,0.0636
bVII,0.388,0.0,0.0,0.1255,0.0795,0.0256,0.0,0.0407,0.0964,0.0,0.1054,0.1352
VII,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
