meanTransistionProbabilitiestableFor-output7cluster2of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2646,0.0821,0.0319,0.2489,0.1838,0.1516,0.0051,0.0,0.001,0.0,0.0166,0.0137
bII,0.4397,0.0357,0.0,0.0,0.0,0.0,0.0,0.2223,0.1071,0.0259,0.0,0.1607
II,0.1577,0.0925,0.1072,0.2672,0.2158,0.0853,0.0157,0.0102,0.0006,0.0112,0.0009,0.0358
bIII,0.0069,0.1435,0.0222,0.3056,0.0322,0.0556,0.0,0.0556,0.1551,0.0222,0.1734,0.0139
III,0.0254,0.2706,0.0922,0.2832,0.0477,0.2083,0.0,0.0144,0.0295,0.0135,0.0,0.0135
IV,0.0791,0.0249,0.0323,0.0547,0.7728,0.0196,0.0,0.0,0.0031,0.0,0.0019,0.0112
bV,0.0,0.0,0.25,0.25,0.125,0.0,0.125,0.25,0.0,0.0,0.0,0.0
V,0.5812,0.0243,0.016,0.1553,0.1272,0.0626,0.0,0.0043,0.012,0.0,0.0113,0.0014
bVI,0.2086,0.0,0.0,0.0707,0.3159,0.1111,0.0,0.0556,0.0278,0.0,0.0804,0.13
VI,0.0861,0.0776,0.0571,0.3847,0.238,0.1356,0.0076,0.0,0.0023,0.0012,0.0076,0.0
bVII,0.2408,0.0588,0.0588,0.0,0.1636,0.0235,0.125,0.0,0.1765,0.0,0.0941,0.0588
VII,0.349,0.0417,0.0996,0.2337,0.1563,0.0,0.0469,0.0,0.0729,0.0,0.0,0.0
