meanTransistionProbabilitiestableFor-output6cluster3of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.6273,0.0318,0.013,0.1046,0.0831,0.0427,0.0001,0.0026,0.0299,0.0002,0.0228,0.0347
bII,0.4288,0.0691,0.0,0.0277,0.1776,0.0,0.0,0.1225,0.0135,0.0078,0.0767,0.075
II,0.2576,0.2744,0.0669,0.0648,0.1281,0.0419,0.0,0.0673,0.0071,0.0104,0.0023,0.0758
bIII,0.1655,0.1042,0.0075,0.1721,0.0731,0.0087,0.001,0.0323,0.1873,0.003,0.1473,0.0929
III,0.09,0.131,0.2926,0.1767,0.0766,0.1462,0.004,0.0058,0.0407,0.0291,0.0,0.0071
IV,0.237,0.0467,0.017,0.4032,0.1179,0.0269,0.0,0.0006,0.06,0.0048,0.0225,0.0574
bV,0.1152,0.1296,0.0,0.213,0.25,0.0278,0.0352,0.0185,0.0,0.1495,0.0581,0.0031
V,0.4501,0.0211,0.0216,0.0734,0.3374,0.0167,0.0016,0.0005,0.017,0.0025,0.0267,0.0138
bVI,0.1937,0.0031,0.0007,0.0965,0.2446,0.013,0.0078,0.0894,0.0456,0.0045,0.2169,0.082
VI,0.067,0.1487,0.0408,0.1853,0.0878,0.3618,0.0123,0.0167,0.0008,0.0032,0.0202,0.052
bVII,0.1439,0.0106,0.0,0.0915,0.1385,0.0464,0.0036,0.0007,0.1719,0.0,0.12,0.2698
VII,0.1591,0.0455,0.1818,0.0,0.0909,0.0909,0.2386,0.0,0.0,0.1023,0.0909,0.0
