meanTransistionProbabilitiestableFor-output9cluster5of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5529,0.0018,0.0042,0.1714,0.2099,0.0123,0.0,0.0007,0.0052,0.0003,0.0057,0.031
bII,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.6389,0.0,0.1111,0.1111,0.1111
II,0.2024,0.1071,0.0476,0.0,0.2619,0.2976,0.0,0.0,0.0,0.0,0.0,0.0833
bIII,0.3468,0.0,0.0,0.0306,0.0,0.0,0.0,0.0,0.0647,0.0,0.2071,0.3357
III,0.25,0.1875,0.125,0.1,0.0,0.3375,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.594,0.0061,0.0031,0.2221,0.0704,0.0221,0.0,0.0,0.0358,0.0044,0.0158,0.0262
bV,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0889,0.0,0.0667,0.0444,0.0
V,0.0932,0.0021,0.0057,0.8267,0.0294,0.004,0.0,0.0,0.0,0.0018,0.005,0.0251
bVI,0.0499,0.0,0.0,0.1847,0.2892,0.0417,0.0,0.037,0.1111,0.0741,0.1276,0.0847
VI,0.0229,0.0729,0.0625,0.2156,0.4156,0.1167,0.0,0.0,0.0,0.0,0.0313,0.0625
bVII,0.536,0.0,0.0,0.1429,0.0258,0.0,0.0,0.0,0.1203,0.0,0.0892,0.0827
VII,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
