meanTransistionProbabilitiestableFor-output11cluster10of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5567,0.002,0.0048,0.1736,0.1979,0.0176,0.0,0.0008,0.0058,0.0003,0.0038,0.0334
bII,0.2639,0.0,0.0,0.25,0.0,0.0,0.0,0.3194,0.0,0.0556,0.0556,0.0556
II,0.2107,0.2238,0.0476,0.025,0.1119,0.2976,0.0,0.0,0.0,0.0,0.0,0.0833
bIII,0.2972,0.0,0.0,0.0262,0.0,0.0,0.0,0.0952,0.1031,0.0,0.1775,0.2877
III,0.2857,0.2143,0.1429,0.0429,0.0,0.3143,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.5545,0.009,0.0035,0.2399,0.0729,0.0251,0.0,0.0,0.0415,0.005,0.0184,0.0302
bV,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0889,0.0,0.0667,0.0444,0.0
V,0.0634,0.0023,0.0049,0.8731,0.027,0.0045,0.0,0.0,0.0,0.002,0.0056,0.0096
bVI,0.0221,0.0,0.0,0.2236,0.2892,0.0417,0.0,0.037,0.1111,0.0741,0.1165,0.0847
VI,0.0327,0.0729,0.0,0.2215,0.4156,0.1635,0.0,0.0,0.0,0.0,0.0313,0.0625
bVII,0.4557,0.0,0.0,0.1132,0.0279,0.0,0.0,0.0,0.1304,0.0,0.1383,0.1312
VII,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
