ConfidenceIntervalTransitionalProbabilitiestableFor-output9cluster5of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4894-0.6164,-0.0006-0.0042,-0.0018-0.0102,0.1286-0.2141,0.1392-0.2807,-0.0027-0.0273,0.0-0.0,-0.0007-0.002,-0.0016-0.0119,-0.0003-0.0008,-0.0009-0.0123,0.0035-0.0586
bII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
II,-0.0413-0.446,-0.1035-0.3178,-0.0748-0.17,0.0-0.0,-0.1559-0.6797,-0.1114-0.7066,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1309-0.2975
bIII,-0.0357-0.7293,0.0-0.0,0.0-0.0,-0.0357-0.0969,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0661-0.1954,0.0-0.0,-0.1139-0.5282,-0.1025-0.7738
III,-0.066-0.566,-0.1235-0.4985,-0.0685-0.3185,-0.0611-0.2611,0.0-0.0,-0.0335-0.7085,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.5222-0.6658,-0.0007-0.0129,-0.0009-0.0072,0.1752-0.2689,0.0418-0.099,-0.0026-0.0468,0.0-0.0,0.0-0.0,-0.0044-0.0759,-0.0025-0.0113,-0.0094-0.041,-0.0053-0.0576
bV,-0.2801-1.0801,0.0-0.0,0.0-0.0,-0.3553-0.7553,-0.3553-0.7553,0.0-0.0,0.0-0.0,-0.1579-0.3357,0.0-0.0,-0.1184-0.2518,-0.079-0.1678,0.0-0.0
V,0.0475-0.1388,-0.0021-0.0062,-0.0034-0.0149,0.7684-0.885,0.0088-0.05,-0.0017-0.0098,0.0-0.0,0.0-0.0,0.0-0.0,-0.0018-0.0055,-0.005-0.015,-0.0115-0.0618
bVI,-0.0173-0.1171,0.0-0.0,0.0-0.0,-0.0581-0.4276,-0.0293-0.6077,-0.0544-0.1378,0.0-0.0,-0.0484-0.1224,-0.1451-0.3673,-0.0967-0.2449,-0.039-0.2941,-0.1106-0.2799
VI,-0.0106-0.0564,-0.0607-0.2065,-0.0707-0.1957,0.0188-0.4125,0.1614-0.6698,0.0101-0.2232,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0354-0.0979,-0.0707-0.1957
bVII,0.3211-0.7509,0.0-0.0,0.0-0.0,0.0262-0.2597,-0.0091-0.0607,0.0-0.0,0.0-0.0,0.0-0.0,-0.0598-0.3004,0.0-0.0,-0.0783-0.2567,-0.0182-0.1835
VII,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan,nan-nan
