meanTransistionProbabilitiestableFor-output10cluster8of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.6398,0.0303,0.0139,0.1061,0.087,0.0404,0.0003,0.0017,0.019,0.0002,0.0218,0.0317
bII,0.4025,0.0945,0.0,0.0116,0.1553,0.0,0.0,0.1676,0.0184,0.0106,0.0874,0.05
II,0.2532,0.2818,0.0753,0.0376,0.1318,0.0482,0.0,0.0633,0.0078,0.0114,0.0025,0.0834
bIII,0.2029,0.1015,0.0093,0.0326,0.0907,0.0108,0.0012,0.0278,0.2398,0.0038,0.1693,0.1041
III,0.1051,0.1283,0.2868,0.1961,0.1157,0.0996,0.0043,0.0063,0.0187,0.0313,0.0,0.0077
IV,0.2594,0.0334,0.0182,0.4231,0.1116,0.0282,0.0,0.0006,0.0522,0.005,0.0106,0.0515
bV,0.1152,0.1296,0.0,0.213,0.25,0.0278,0.0352,0.0185,0.0,0.1495,0.0581,0.0031
V,0.4086,0.026,0.026,0.08,0.3638,0.0208,0.0017,0.0006,0.0087,0.0028,0.0256,0.0155
bVI,0.1912,0.0037,0.0008,0.0731,0.2288,0.0142,0.0093,0.0795,0.0586,0.0053,0.2624,0.0703
VI,0.0876,0.1728,0.0434,0.17,0.049,0.3712,0.0142,0.0,0.0009,0.0037,0.0234,0.06
bVII,0.1685,0.0123,0.0,0.1091,0.1097,0.0449,0.0042,0.0008,0.1481,0.0,0.1191,0.2798
VII,0.1458,0.0417,0.1667,0.0,0.0833,0.1667,0.2188,0.0,0.0,0.0938,0.0833,0.0
