meanTransistionProbabilitiestableFor-output3cluster3of3.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.319,0.0856,0.0406,0.24,0.1315,0.1125,0.0122,0.0031,0.0136,0.0061,0.0061,0.0258
bII,0.2644,0.3364,0.0,0.0538,0.0688,0.0,0.0175,0.0857,0.0348,0.0682,0.05,0.0205
II,0.0499,0.1093,0.0376,0.0389,0.7138,0.0185,0.0059,0.0049,0.002,0.0019,0.0045,0.0105
bIII,0.0681,0.2618,0.031,0.1723,0.1281,0.0078,0.0016,0.0078,0.1282,0.001,0.0935,0.0989
III,0.036,0.094,0.0814,0.1588,0.067,0.5096,0.0107,0.0111,0.0195,0.0061,0.0,0.0047
IV,0.3487,0.0766,0.0808,0.1768,0.217,0.0136,0.0011,0.0006,0.0144,0.0158,0.007,0.0392
bV,0.2024,0.0571,0.0398,0.1667,0.3071,0.0286,0.1143,0.003,0.0286,0.0381,0.0143,0.0
V,0.5182,0.0676,0.035,0.1011,0.1764,0.0515,0.0021,0.0007,0.0033,0.0017,0.0117,0.015
bVI,0.2377,0.0427,0.0,0.0537,0.1694,0.0714,0.0016,0.0425,0.0884,0.0221,0.0725,0.1979
VI,0.0964,0.4607,0.0604,0.1506,0.0809,0.1156,0.0107,0.0031,0.0008,0.0012,0.0045,0.0133
bVII,0.2048,0.0347,0.0146,0.302,0.0704,0.1403,0.0214,0.0099,0.0843,0.0,0.0242,0.0863
VII,0.1414,0.0631,0.4839,0.002,0.0091,0.0363,0.0909,0.0242,0.0,0.0455,0.0303,0.0657
