meanTransistionProbabilitiestableFor-output5cluster2of5.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3348,0.0386,0.0193,0.312,0.175,0.0252,0.0002,0.001,0.028,0.0004,0.0047,0.0531
bII,0.1816,0.0385,0.0128,0.0615,0.0256,0.0,0.0,0.1389,0.0,0.2152,0.2403,0.0855
II,0.2122,0.1446,0.0614,0.304,0.1335,0.0394,0.0024,0.0145,0.0229,0.0091,0.0,0.0552
bIII,0.168,0.0655,0.0073,0.2768,0.0848,0.0,0.0256,0.0152,0.084,0.0311,0.1728,0.0645
III,0.0451,0.1802,0.087,0.3335,0.0458,0.2521,0.0256,0.0,0.0256,0.0,0.0028,0.0
IV,0.717,0.0144,0.0093,0.1221,0.0783,0.022,0.0,0.0,0.0063,0.0025,0.0028,0.0219
bV,0.1,0.0,0.051,0.2,0.2,0.0,0.0313,0.2425,0.0125,0.0292,0.0836,0.05
V,0.3158,0.0321,0.0107,0.3351,0.1793,0.0582,0.0005,0.0004,0.0085,0.0032,0.0178,0.024
bVI,0.1067,0.0,0.0012,0.0631,0.1998,0.0507,0.0068,0.0984,0.1603,0.0634,0.1192,0.1286
VI,0.1779,0.0641,0.1085,0.1955,0.2683,0.0766,0.0063,0.0,0.0,0.0,0.0256,0.0765
bVII,0.1324,0.0129,0.0,0.5591,0.1291,0.0473,0.0186,0.0,0.0065,0.0,0.0292,0.0596
VII,0.369,0.0382,0.0,0.0357,0.0357,0.022,0.1981,0.0,0.0815,0.1429,0.0055,0.0714
