meanTransistionProbabilitiestableFor-output8cluster8of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2938,0.0457,0.0182,0.3747,0.164,0.0248,0.001,0.0005,0.0475,0.0,0.006,0.0156
bII,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.1776,0.1599,0.375
II,0.1635,0.1198,0.0562,0.4098,0.1012,0.0115,0.0,0.0235,0.0294,0.0147,0.0,0.0703
bIII,0.1399,0.1034,0.0029,0.3434,0.0546,0.0,0.0,0.0204,0.0973,0.0172,0.2004,0.0148
III,0.04,0.1135,0.1342,0.4641,0.0797,0.0674,0.05,0.0,0.05,0.0,0.0,0.0
IV,0.7571,0.0239,0.0032,0.0822,0.091,0.0121,0.0,0.0,0.0043,0.0002,0.0022,0.0195
bV,0.0,0.0,0.0,0.2222,0.2222,0.0,0.0,0.3111,0.0,0.0,0.1333,0.1111
V,0.5302,0.0411,0.0065,0.1197,0.1765,0.0821,0.0006,0.0,0.0015,0.004,0.0127,0.01
bVI,0.1808,0.0,0.0021,0.1117,0.1803,0.0,0.0114,0.1369,0.0836,0.0239,0.1335,0.1329
VI,0.216,0.1189,0.1415,0.1785,0.1469,0.0848,0.012,0.0278,0.0,0.0,0.0093,0.0643
bVII,0.3192,0.0065,0.0,0.1011,0.2446,0.1133,0.0484,0.0,0.0415,0.0,0.0339,0.0795
VII,0.1871,0.0764,0.0408,0.0,0.0,0.0408,0.2808,0.0,0.0476,0.1429,0.0,0.1837
