meanTransistionProbabilitiestableFor-output3cluster1of3.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5004,0.0279,0.0147,0.1665,0.1245,0.0236,0.0002,0.0021,0.0282,0.0006,0.0339,0.0698
bII,0.3046,0.0208,0.0247,0.0526,0.0679,0.0,0.0,0.1111,0.1171,0.1137,0.1171,0.0689
II,0.2264,0.2192,0.0551,0.1962,0.0896,0.0808,0.0014,0.0319,0.009,0.0138,0.0021,0.0734
bIII,0.1611,0.0585,0.002,0.2157,0.0663,0.0,0.0102,0.0218,0.1259,0.0145,0.1535,0.1661
III,0.0751,0.1608,0.2254,0.2331,0.076,0.1219,0.0304,0.0045,0.0455,0.0182,0.002,0.0056
IV,0.5202,0.0145,0.0097,0.2543,0.0594,0.0201,0.0,0.0015,0.037,0.0022,0.0246,0.0516
bV,0.1232,0.0345,0.0043,0.2931,0.1724,0.0172,0.0434,0.113,0.0431,0.0374,0.0819,0.0364
V,0.2104,0.0315,0.0141,0.3174,0.2844,0.0446,0.0014,0.0003,0.0157,0.003,0.0422,0.0218
bVI,0.1571,0.0,0.0009,0.0916,0.145,0.0315,0.0061,0.0445,0.0958,0.0154,0.1736,0.2365
VI,0.1359,0.0914,0.0778,0.1741,0.2024,0.1785,0.009,0.0,0.0,0.0011,0.0194,0.1097
bVII,0.3394,0.0086,0.0,0.2984,0.044,0.0257,0.013,0.0018,0.0651,0.0002,0.0667,0.1324
VII,0.3333,0.0232,0.0652,0.0217,0.0652,0.1031,0.1776,0.0,0.0496,0.0924,0.0033,0.0435
