meanTransistionProbabilitiestableFor-output6cluster6of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3491,0.0438,0.0235,0.3095,0.1978,0.0313,0.0004,0.0007,0.0243,0.0001,0.0041,0.0088
bII,0.1944,0.0,0.0,0.1143,0.0476,0.0,0.0,0.1627,0.0,0.1426,0.1796,0.1587
II,0.2477,0.1361,0.0695,0.2632,0.1147,0.093,0.0,0.0157,0.0231,0.0098,0.0,0.0272
bIII,0.1764,0.0435,0.0123,0.2591,0.0819,0.0,0.0,0.004,0.1144,0.0528,0.2237,0.0248
III,0.0644,0.11,0.089,0.4166,0.0853,0.2048,0.0,0.0,0.0263,0.0,0.0029,0.0
IV,0.6784,0.016,0.0167,0.1513,0.0963,0.0264,0.0,0.0,0.0026,0.0029,0.0005,0.006
bV,0.1333,0.0,0.0,0.2,0.2667,0.0,0.0,0.2163,0.0,0.0222,0.0948,0.0667
V,0.3487,0.0395,0.0093,0.3656,0.1451,0.06,0.0006,0.0,0.001,0.002,0.0075,0.0059
bVI,0.1774,0.0,0.0024,0.0702,0.2629,0.0245,0.0132,0.1228,0.1109,0.0464,0.1305,0.0355
VI,0.1735,0.0712,0.117,0.1557,0.3274,0.0994,0.0066,0.0,0.0,0.0,0.0076,0.0407
bVII,0.1967,0.0083,0.0417,0.1042,0.269,0.1054,0.0449,0.0,0.0151,0.0,0.0738,0.1253
VII,0.1458,0.0668,0.0,0.0,0.0625,0.125,0.2457,0.0,0.1042,0.125,0.0,0.125
