meanTransistionProbabilitiestableFor-output11cluster2of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2223,0.0699,0.038,0.2627,0.1851,0.1609,0.0035,0.0035,0.016,0.0106,0.0027,0.018
bII,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
II,0.047,0.1127,0.0338,0.0736,0.6802,0.0326,0.0011,0.0066,0.0,0.0011,0.0,0.008
bIII,0.0476,0.25,0.0,0.2106,0.019,0.0,0.0,0.0,0.0571,0.0,0.1738,0.2418
III,0.04,0.215,0.0673,0.1731,0.0585,0.3574,0.02,0.04,0.0,0.0087,0.0,0.02
IV,0.3198,0.0368,0.1157,0.1424,0.2964,0.009,0.0022,0.0,0.0043,0.0096,0.0095,0.0535
bV,0.3333,0.0,0.0,0.3333,0.1667,0.0,0.1667,0.0,0.0,0.0,0.0,0.0
V,0.634,0.0372,0.0239,0.1287,0.1209,0.0299,0.0006,0.0,0.005,0.0008,0.0045,0.0067
bVI,0.3333,0.0,0.0,0.0,0.25,0.1667,0.0,0.0,0.0583,0.0,0.025,0.1667
VI,0.0016,0.8839,0.0206,0.0098,0.0541,0.0264,0.0011,0.0,0.0027,0.0,0.0,0.0
bVII,0.1218,0.1071,0.0,0.1508,0.0516,0.3226,0.0,0.0,0.2103,0.0,0.0,0.0357
VII,0.1667,0.1667,0.2111,0.0111,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.3333
