meanTransistionProbabilitiestableFor-output6cluster1of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2751,0.0807,0.0329,0.2356,0.1715,0.1643,0.0055,0.0,0.0011,0.0,0.0178,0.0148
bII,0.4397,0.0357,0.0,0.0,0.0,0.0,0.0,0.2223,0.1071,0.0259,0.0,0.1607
II,0.1719,0.0906,0.0986,0.2715,0.228,0.0577,0.0175,0.0114,0.0007,0.0114,0.0009,0.0399
bIII,0.0069,0.1435,0.0222,0.3056,0.0322,0.0556,0.0,0.0556,0.1551,0.0222,0.1734,0.0139
III,0.0185,0.2447,0.0911,0.2451,0.0519,0.2697,0.0,0.0157,0.0321,0.0147,0.0,0.0147
IV,0.0665,0.0243,0.0199,0.055,0.8087,0.0083,0.0,0.0,0.0033,0.0,0.002,0.0115
bV,0.0,0.0,0.3333,0.0,0.1667,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0
V,0.6019,0.0188,0.0176,0.1369,0.13,0.0612,0.0,0.0046,0.0129,0.0,0.0122,0.0002
bVI,0.2086,0.0,0.0,0.0707,0.3159,0.1111,0.0,0.0556,0.0278,0.0,0.0804,0.13
VI,0.0948,0.0812,0.0546,0.4197,0.1859,0.1415,0.0081,0.0,0.0025,0.0013,0.0081,0.0
bVII,0.2729,0.0667,0.0,0.0,0.1854,0.0267,0.075,0.0,0.2,0.0,0.1067,0.0667
VII,0.3988,0.0,0.0186,0.2671,0.1786,0.0,0.0536,0.0,0.0833,0.0,0.0,0.0
