meanTransistionProbabilitiestableFor-output6cluster4of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3119,0.0568,0.0171,0.287,0.1051,0.0376,0.0011,0.0005,0.0223,0.0007,0.0052,0.1464
bII,0.1667,0.0833,0.0278,0.0,0.0,0.0,0.0,0.1944,0.0,0.2944,0.2333,0.0
II,0.1644,0.1252,0.0656,0.1876,0.3869,0.0424,0.0032,0.0,0.0031,0.0,0.0,0.0205
bIII,0.1855,0.1422,0.0,0.2595,0.067,0.0,0.04,0.0,0.0974,0.0,0.0859,0.1225
III,0.005,0.2157,0.0987,0.2214,0.1273,0.1895,0.08,0.0,0.06,0.0,0.0,0.0
IV,0.5415,0.0265,0.0272,0.1228,0.1644,0.0235,0.0015,0.0005,0.0137,0.0,0.0086,0.0666
bV,0.0,0.0,0.2039,0.2,0.0,0.2,0.125,0.1211,0.05,0.05,0.05,0.0
V,0.351,0.0429,0.0188,0.158,0.2614,0.0519,0.0,0.001,0.0246,0.0017,0.0302,0.0512
bVI,0.1048,0.0435,0.0,0.0381,0.1577,0.0613,0.0033,0.046,0.1391,0.0502,0.1271,0.2289
VI,0.0903,0.1792,0.085,0.1952,0.1685,0.0876,0.0002,0.0,0.0,0.0,0.0332,0.1607
bVII,0.0483,0.0098,0.0,0.8424,0.0437,0.0152,0.0029,0.0,0.0039,0.0,0.0093,0.0244
VII,0.4,0.0,0.225,0.05,0.0,0.037,0.1245,0.0,0.0308,0.1,0.0077,0.0
