ConfidenceIntervalTransitionalProbabilitiestableFor-output10cluster3of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2324-0.4148,0.0075-0.0573,0.012-0.1176,0.1433-0.2951,0.1743-0.3921,0.0116-0.0763,0.0-0.0,-0.001-0.0028,0.0-0.0,0.0-0.0,-0.0044-0.0249,-0.0041-0.041
bII,-0.1626-0.1904,0.0-0.0,0.0-0.0,-4.6825-5.4825,0.0-0.0,0.0-0.0,0.0-0.0,-2.3689-3.2078,0.0-0.0,-0.6503-0.7615,-0.6503-0.7615,-0.6503-0.7615
II,0.0679-0.359,0.0184-0.1525,-0.008-0.1217,0.1152-0.4224,0.12-0.3365,0.0031-0.2072,0.0-0.0,0.0-0.0,-0.0016-0.0046,-0.0203-0.0659,0.0-0.0,-0.0173-0.0497
bIII,0.0-0.0,0.0-0.0,0.0-0.0,-5.8531-6.8531,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.8362-0.979,-4.1808-4.8951,0.0-0.0,-0.8362-0.979
III,-0.0145-0.08,0.068-0.3919,0.0006-0.1545,0.1638-0.5309,-0.0217-0.1157,0.0886-0.4423,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.2408-0.411,0.0089-0.0662,0.0062-0.0679,0.1265-0.2397,0.1976-0.4066,0.0346-0.1403,0.0-0.0,0.0-0.0,-0.0031-0.0091,0.0-0.0,0.0-0.0,-0.0025-0.0413
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.5456-1.0456,-0.5456-1.0456,0.0-0.0,0.0-0.0,-0.3942-1.1164,0.0-0.0,-0.1819-0.3485,-0.1212-0.2324,0.0-0.0
V,0.216-0.3755,0.0221-0.1145,-0.0037-0.0587,0.2194-0.4188,0.1292-0.24,0.0332-0.0987,-0.0015-0.0045,0.0-0.0,-0.0016-0.0046,0.0-0.0,-0.0031-0.0091,-0.0147-0.0682
bVI,0.0-0.0,0.0-0.0,0.0-0.0,-0.1376-0.2209,-0.0688-0.1105,-0.0688-0.1105,0.0-0.0,-0.367-0.5892,0.0-0.0,-0.7339-1.1784,-0.0688-0.1105,-0.7083-1.8333
VI,-0.0019-0.0342,-0.0022-0.0226,0.002-0.0827,0.0046-0.0756,0.7941-0.9398,-0.0027-0.0295,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0111-0.0327
bVII,-0.0404-0.1077,0.0-0.0,-0.1001-0.2667,0.0637-0.5698,-0.0334-0.2876,-0.0674-0.311,-0.1001-0.2667,0.0-0.0,-0.0077-0.0205,0.0-0.0,-0.0654-0.3699,-0.0266-0.1772
VII,0.0-0.0,-1.951-2.2844,-3.9021-4.5687,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-5.8531-6.8531,0.0-0.0,0.0-0.0
