meanTransistionProbabilitiestableFor-output8cluster4of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.6397,0.0353,0.0131,0.1067,0.0982,0.0403,0.0006,0.002,0.0175,0.0002,0.0176,0.0217
bII,0.4158,0.1271,0.0,0.01,0.1644,0.0,0.0,0.122,0.0159,0.0092,0.0906,0.0432
II,0.2494,0.2769,0.0663,0.0338,0.1554,0.0607,0.0,0.064,0.0066,0.0103,0.0021,0.0712
bIII,0.1847,0.1107,0.0093,0.1222,0.1009,0.0108,0.0012,0.0278,0.1959,0.0038,0.1356,0.0934
III,0.088,0.1368,0.2835,0.1871,0.109,0.0995,0.0153,0.0057,0.0398,0.0284,0.0,0.007
IV,0.2555,0.0379,0.0185,0.4075,0.1222,0.0367,0.0,0.0006,0.0551,0.0055,0.0085,0.0456
bV,0.1037,0.1167,0.0,0.2417,0.275,0.025,0.0317,0.0167,0.0,0.1345,0.0523,0.0028
V,0.4142,0.03,0.0235,0.0737,0.3593,0.0231,0.0016,0.0006,0.0162,0.0026,0.0251,0.0129
bVI,0.1899,0.0038,0.0009,0.088,0.2283,0.0352,0.0096,0.1018,0.0609,0.0055,0.2265,0.0468
VI,0.0712,0.1766,0.0415,0.1538,0.1578,0.313,0.0116,0.0,0.0007,0.003,0.019,0.0488
bVII,0.1391,0.0133,0.0,0.1131,0.1458,0.0484,0.0242,0.0,0.1506,0.0,0.0921,0.2734
VII,0.125,0.0595,0.2381,0.0,0.0714,0.1429,0.2113,0.0,0.0,0.0804,0.0714,0.0
