ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster6of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3997-0.4971,0.0422-0.1135,-0.003-0.0136,0.1891-0.3045,0.0695-0.1245,0.0302-0.1129,-0.0007-0.0067,-0.0004-0.0013,-0.0-0.0102,0.0-0.0,-0.002-0.0198,0.0022-0.0624
bII,-0.8346-1.4457,0.0-0.0,0.0-0.0,-0.0917-0.1473,-0.9174-1.473,0.0-0.0,0.0-0.0,0.0-0.0,-0.1835-0.2946,0.0-0.0,-1.1009-1.7676,0.0-0.0
II,0.0061-0.0436,0.0658-0.1601,-0.0025-0.0076,-0.0056-0.0269,0.7697-0.8795,-0.0019-0.0102,-0.003-0.0091,-0.0025-0.0076,0.0-0.0,0.0-0.0,-0.0031-0.0173,-0.0076-0.0227
bIII,-0.0102-0.1435,-0.0609-0.5498,0.0-0.0,-0.0242-0.2983,-0.1273-0.3812,0.0-0.0,0.0-0.0,-0.0484-0.1224,0.0598-0.4143,0.0-0.0,-0.0548-0.2611,-0.0622-0.1574
III,-0.0276-0.1415,-0.0725-0.3225,0.1345-0.4186,0.0254-0.3211,-0.0243-0.4727,-0.0179-0.2148,0.0-0.0,0.0-0.0,0.0-0.0,-0.05-0.1334,0.0-0.0,-0.0048-0.0127
IV,0.2862-0.4244,0.0655-0.1781,-0.001-0.0121,0.1962-0.2967,0.1337-0.2486,-0.0022-0.0254,0.0-0.0,0.0-0.0,-0.0003-0.0112,0.0032-0.033,0.0001-0.011,0.0036-0.0427
bV,0.0357-0.8161,-0.1451-0.3673,-0.0726-0.1837,0.0-0.0,-0.0928-0.5743,0.0-0.0,-0.0726-0.1837,0.0-0.0,0.0-0.0,-0.0726-0.1837,-0.0726-0.1837,0.0-0.0
V,0.479-0.6134,0.0218-0.1028,-0.0016-0.0048,0.055-0.1451,0.1697-0.2664,0.0071-0.0397,-0.0023-0.0068,0.0-0.0,-0.0013-0.0038,-0.0008-0.0024,-0.0067-0.0311,-0.0025-0.0147
bVI,0.0322-0.5928,-0.1001-0.2667,0.0-0.0,-0.0188-0.291,-0.0264-0.4554,0.0-0.0,0.0-0.0,-0.0429-0.1143,-0.0362-0.1854,0.0-0.0,-0.0319-0.1533,-0.0398-0.2049
VI,0.0829-0.3367,0.0304-0.161,-0.0053-0.1669,0.1393-0.4225,0.0-0.2426,0.0576-0.23,-0.0121-0.0478,0.0-0.0,0.0-0.0,0.0-0.0,-0.0063-0.0182,-0.0297-0.1176
bVII,0.1222-0.5021,-0.0083-0.0233,0.0-0.0,0.1271-0.5419,0.0023-0.2016,-0.0579-0.1632,0.0-0.0,-0.0425-0.1197,-0.0277-0.14,0.0-0.0,-0.0185-0.0927,-0.0089-0.1257
VII,-0.1872-0.7427,-0.1309-0.2975,-0.0951-0.7618,0.0-0.0,0.0-0.0,-0.0873-0.1984,-0.1043-0.4376,0.0-0.0,0.0-0.0,-0.1309-0.2975,0.0-0.0,0.0-0.0
