meanTransistionProbabilitiestableFor-output4cluster3of4.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2925,0.0877,0.0329,0.2455,0.1501,0.1394,0.0033,0.0,0.0063,0.0,0.0182,0.0218
bII,0.5517,0.0286,0.0,0.0,0.0,0.0,0.0,0.1778,0.0857,0.0207,0.0,0.1286
II,0.2561,0.1386,0.0798,0.2012,0.2181,0.0563,0.0093,0.006,0.0009,0.0066,0.0005,0.0256
bIII,0.0469,0.1493,0.025,0.3069,0.0241,0.0463,0.0,0.0417,0.133,0.0167,0.1476,0.0521
III,0.0308,0.2343,0.0874,0.3012,0.0849,0.2093,0.0,0.0085,0.0268,0.0079,0.0,0.0079
IV,0.1119,0.0472,0.046,0.1136,0.6284,0.0204,0.0,0.0,0.0042,0.001,0.0061,0.0208
bV,0.2,0.0,0.2,0.2,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0
V,0.5901,0.023,0.0219,0.1227,0.1495,0.048,0.0003,0.0028,0.0086,0.0,0.0099,0.0064
bVI,0.1745,0.0,0.0,0.0954,0.3559,0.08,0.0,0.04,0.02,0.0,0.0779,0.1563
VI,0.0658,0.0736,0.0577,0.4166,0.1936,0.1597,0.0088,0.0105,0.0016,0.0008,0.0075,0.0013
bVII,0.2641,0.0278,0.0278,0.2006,0.1336,0.0528,0.059,0.0,0.0833,0.0,0.0827,0.0684
VII,0.3102,0.0648,0.0886,0.2077,0.1667,0.0,0.0972,0.0,0.0648,0.0,0.0,0.0
