meanTransistionProbabilitiestableFor-output8cluster7of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2562,0.0956,0.0547,0.2816,0.1026,0.1239,0.0289,0.0034,0.0174,0.0124,0.0021,0.0191
bII,0.1875,0.375,0.0,0.0,0.125,0.0,0.0,0.0625,0.125,0.125,0.0,0.0
II,0.1662,0.1385,0.078,0.03,0.5214,0.0329,0.0144,0.0056,0.0012,0.0,0.0044,0.002
bIII,0.0296,0.2889,0.0133,0.1016,0.2,0.0,0.0,0.0148,0.1141,0.0029,0.157,0.0778
III,0.0132,0.0435,0.0465,0.0499,0.0102,0.8277,0.0,0.0,0.0068,0.0,0.0,0.0
IV,0.3384,0.0939,0.1349,0.171,0.1747,0.0122,0.0,0.0,0.0054,0.0075,0.0039,0.0565
bV,0.075,0.0667,0.0,0.2674,0.2627,0.0,0.2543,0.0,0.0,0.0348,0.0391,0.0
V,0.5306,0.0313,0.0748,0.0632,0.2105,0.0454,0.003,0.0,0.0053,0.0059,0.0093,0.0091
bVI,0.4993,0.0588,0.0,0.0588,0.1324,0.0,0.0,0.0098,0.0294,0.0189,0.1148,0.0777
VI,0.127,0.3803,0.0423,0.1927,0.0771,0.146,0.017,0.0074,0.0,0.0014,0.0038,0.0014
bVII,0.2317,0.0377,0.0451,0.1226,0.0682,0.2292,0.0174,0.0,0.0952,0.0,0.0175,0.1146
VII,0.0,0.0735,0.6521,0.0,0.0176,0.0509,0.0784,0.0,0.0588,0.0,0.0,0.0686
