meanTransistionProbabilitiestableFor-output11cluster5of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3787,0.033,0.0032,0.0807,0.0877,0.0126,0.0007,0.0114,0.0462,0.0,0.1564,0.1858
bII,0.1984,0.0032,0.05,0.1,0.0,0.0,0.0,0.181,0.2845,0.1,0.0,0.0329
II,0.2315,0.2114,0.0,0.1049,0.2808,0.0,0.0,0.0,0.0738,0.0,0.0313,0.0663
bIII,0.031,0.0234,0.0022,0.1581,0.0696,0.0034,0.0,0.0173,0.0935,0.0,0.1344,0.4671
III,0.0,0.2288,0.2273,0.2214,0.0167,0.0892,0.025,0.125,0.05,0.0,0.0,0.0
IV,0.2503,0.0288,0.0349,0.1492,0.1964,0.0007,0.0,0.0152,0.0743,0.0,0.1472,0.0941
bV,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0
V,0.45,0.0138,0.0157,0.1247,0.1728,0.0155,0.0,0.0,0.0027,0.0,0.1696,0.0204
bVI,0.0614,0.002,0.0,0.0682,0.0596,0.0254,0.0024,0.0,0.0493,0.004,0.0486,0.6792
VI,0.0667,0.1166,0.0325,0.1818,0.103,0.1644,0.0,0.0,0.0,0.0,0.1078,0.2273
bVII,0.7042,0.0,0.0,0.0743,0.0117,0.0049,0.0069,0.0065,0.0314,0.0006,0.0715,0.0843
VII,0.5,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
