ConfidenceIntervalTransitionalProbabilitiestableFor-output8cluster6of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2045-0.309,0.0445-0.1287,0.0094-0.0662,0.1942-0.3036,0.1097-0.2294,0.0992-0.2061,-0.0015-0.0116,0.0-0.0,-0.0042-0.0183,0.0-0.0,0.0037-0.0372,0.0009-0.0274
bII,-0.0655-0.9448,-0.0779-0.1494,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1272-0.5717,-0.2338-0.4481,-0.0564-0.1082,0.0-0.0,-0.2148-0.5362
II,0.0916-0.2645,0.0436-0.1521,0.0283-0.1687,0.1777-0.3744,0.1368-0.282,0.0216-0.1121,-0.0159-0.0473,-0.0103-0.0307,-0.0006-0.0019,-0.0103-0.0307,-0.0009-0.0026,-0.0119-0.0834
bIII,-0.0068-0.0193,-0.0165-0.2748,-0.0219-0.0619,0.1475-0.5958,-0.0197-0.0776,-0.0547-0.1547,0.0-0.0,-0.0547-0.1547,0.0161-0.2697,-0.0219-0.0619,-0.0019-0.314,-0.0137-0.0387
III,0.0021-0.0758,0.1362-0.3899,0.0309-0.1564,0.1303-0.3684,0.004-0.1535,0.1068-0.3005,0.0-0.0,-0.0066-0.0355,-0.0254-0.0844,-0.0139-0.0409,0.0-0.0,-0.0139-0.0409
IV,0.0513-0.0977,0.0103-0.0408,0.0125-0.0689,0.0347-0.0791,0.7106-0.8158,0.0038-0.026,0.0-0.0,0.0-0.0,-0.0009-0.007,0.0-0.0,-0.0027-0.022,-0.0022-0.0243
bV,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.5504-0.8838,0.0-0.0,-0.5504-0.8838,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5215-0.6395,0.008-0.0433,0.0023-0.0314,0.114-0.1952,0.0947-0.1585,0.037-0.0839,0.0-0.0,-0.003-0.0115,-0.0047-0.0288,0.0-0.0,0.0025-0.0202,-0.0002-0.0011
bVI,0.0474-0.428,0.0-0.0,0.0-0.0,-0.0212-0.1485,0.1362-0.5324,-0.0441-0.2441,0.0-0.0,-0.0547-0.1547,-0.0273-0.0773,0.0-0.0,-0.04-0.1847,-0.0146-0.2486
VI,0.0413-0.1308,0.0418-0.1312,0.024-0.0932,0.3052-0.4921,0.1177-0.281,0.0985-0.2014,-0.0076-0.0227,0.0-0.0,-0.0023-0.007,-0.0012-0.0036,-0.0076-0.0227,0.0-0.0
bVII,0.0717-0.3971,-0.0249-0.136,-0.0617-0.1728,0.0-0.0,0.0204-0.2886,-0.0247-0.0691,-0.0548-0.1798,0.0-0.0,0.0209-0.3679,0.0-0.0,-0.0108-0.1885,0.0088-0.2551
VII,-0.0394-0.837,0.0-0.0,-0.027-0.0642,-0.1562-0.6904,-0.1673-0.5245,0.0-0.0,-0.0775-0.1847,0.0-0.0,-0.0502-0.2168,0.0-0.0,0.0-0.0,0.0-0.0
