ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster10of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2409-0.3413,0.0155-0.0741,-0.0026-0.0171,0.3547-0.4888,0.1148-0.2013,0.0058-0.0475,-0.0004-0.0013,-0.0003-0.0008,0.0019-0.0495,0.0-0.0,0.0002-0.0127,0.0012-0.0201
bII,-0.3553-0.7553,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1066-0.2266,0.0-0.0,-0.1283-0.4831,-0.168-0.4931,-0.2801-1.0801
II,0.0757-0.3312,0.0603-0.2868,-0.0432-0.1575,0.2087-0.6149,0.0093-0.1274,0.0-0.0,0.0-0.0,-0.0414-0.1176,0.0-0.0,0.0-0.0,0.0-0.0,-0.0517-0.147
bIII,0.0105-0.4322,-0.0829-0.2257,0.0-0.0,-0.03-0.1371,-0.0669-0.2454,0.0-0.0,0.0-0.0,-0.0075-0.0205,0.027-0.3759,-0.0414-0.1129,0.0515-0.5287,-0.0355-0.0967
III,-0.0264-0.2264,-0.1128-0.6227,0.0118-0.4691,-0.0087-0.0377,-0.0309-0.3017,-0.0258-0.2796,0.0-0.0,0.0-0.0,-0.1706-0.4206,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.6927-0.8015,-0.0091-0.0435,-0.0086-0.038,0.05-0.1047,0.0693-0.1402,0.003-0.0225,0.0-0.0,0.0-0.0,0.0005-0.0061,0.0-0.0,0.0-0.0,-0.0044-0.042
bV,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.7145-1.9145,0.0-0.0,0.0-0.0,-0.9145-1.7145,0.0-0.0
V,0.4352-0.5857,0.0005-0.0456,-0.0012-0.0035,0.1097-0.2109,0.1324-0.2478,0.0229-0.1285,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0035-0.0209,-0.0103-0.0353
bVI,-0.0362-0.4709,0.0-0.0,-0.0045-0.0121,-0.1001-0.2667,-0.0129-0.1915,0.0-0.0,0.0-0.0,-0.0522-0.4411,0.0098-0.2162,0.0-0.0,0.0178-0.3319,-0.0706-0.3081
VI,0.131-0.4735,0.0161-0.2269,-0.0201-0.1878,0.1166-0.4237,-0.004-0.1298,0.0444-0.222,-0.0047-0.0134,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0233-0.0668
bVII,0.112-0.5247,0.0-0.0,0.0-0.0,-0.0255-0.1296,0.204-0.6813,-0.0193-0.079,0.0-0.0,0.0-0.0,-0.0202-0.0559,0.0-0.0,-0.0219-0.0607,0.0088-0.2217
VII,0.0-0.0,-2.9266-3.4266,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-2.9266-3.4266,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-5.8531-6.8531
