ConfidenceIntervalTransitionalProbabilitiestableFor-output9cluster7of9.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2893-0.382,0.0453-0.0985,0.0069-0.0315,0.1964-0.2968,0.1096-0.1935,0.0856-0.1718,0.0004-0.0096,-0.0005-0.0045,-0.0009-0.0156,0.0-0.0,0.0001-0.0041,0.0036-0.0465
bII,0.0956-1.0235,-0.2067-0.4924,0.0-0.0,-0.1911-0.5007,-0.1723-0.4103,0.0-0.0,0.0-0.0,0.0-0.0,-0.0345-0.0821,0.0-0.0,0.0-0.0,0.0-0.0
II,0.0096-0.0434,0.0568-0.1272,-0.0029-0.0224,0.0084-0.0445,0.775-0.8665,-0.0005-0.009,-0.0021-0.0063,-0.0013-0.0074,-0.0013-0.006,-0.0019-0.0096,-0.0022-0.0109,-0.0039-0.0118
bIII,-0.0062-0.2062,0.0203-0.413,-0.0829-0.2257,-0.0279-0.2623,-0.0495-0.2829,0.0-0.0,0.0-0.0,-0.0276-0.0752,0.0258-0.3028,0.0-0.0,-0.0387-0.1053,-0.0518-0.365
III,0.0006-0.0884,0.0234-0.2247,0.0396-0.1654,0.2651-0.5245,0.0331-0.2196,0.0727-0.2139,0.0-0.0,-0.0282-0.0879,-0.0197-0.0578,-0.0147-0.0433,0.0-0.0,-0.0014-0.0041
IV,0.282-0.3989,0.0436-0.1232,0.007-0.043,0.1548-0.2381,0.1913-0.312,0.0023-0.0291,0.0-0.0,0.0-0.0,-0.0074-0.0378,0.0089-0.0371,0.0007-0.0114,0.0025-0.0547
bV,0.0961-0.5901,-0.0659-0.1835,-0.0329-0.0918,-0.0659-0.1835,0.1125-0.613,0.0-0.0,-0.0329-0.0918,0.0-0.0,-0.0659-0.1835,-0.0329-0.0918,-0.0329-0.0918,0.0-0.0
V,0.5173-0.625,0.0429-0.1126,0.0004-0.0106,0.0786-0.1446,0.1193-0.1881,0.0287-0.0725,-0.0012-0.0055,-0.0006-0.0017,-0.0004-0.0018,0.0-0.0,-0.0053-0.0196,-0.0007-0.0101
bVI,0.0032-0.4968,0.0-0.0,0.0-0.0,-0.0329-0.2306,0.0435-0.5732,-0.0829-0.2257,0.0-0.0,0.0-0.0,-0.0418-0.2085,0.0-0.0,-0.0249-0.0677,-0.0402-0.3735
VI,0.019-0.1182,0.3646-0.5656,0.0389-0.1488,0.0619-0.189,0.0575-0.1965,0.0464-0.1366,-0.0042-0.0208,0.0-0.0,-0.0019-0.0057,0.0-0.0,0.0-0.0,-0.0121-0.0489
bVII,0.1187-0.393,-0.0327-0.0933,0.0-0.0,0.0116-0.1553,0.0135-0.198,0.0394-0.3712,-0.0421-0.1481,-0.036-0.1027,0.0106-0.2328,0.0-0.0,-0.0218-0.0622,-0.0067-0.1871
VII,0.0782-0.6995,-0.036-0.1749,-0.0005-0.445,0.0-0.0,0.0-0.0,-0.0334-0.0889,-0.0403-0.207,0.0-0.0,0.0-0.0,-0.05-0.1334,0.0-0.0,-0.0807-0.414
