meanTransistionProbabilitiestableFor-output12cluster4of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.652,0.0332,0.0058,0.1056,0.0869,0.0318,0.0001,0.0021,0.0206,0.0002,0.0214,0.0325
bII,0.3931,0.1271,0.0,0.01,0.1644,0.0,0.0,0.1447,0.0159,0.0092,0.0906,0.0432
II,0.2325,0.2917,0.0594,0.0386,0.1518,0.0465,0.0,0.0807,0.0076,0.0,0.0027,0.0859
bIII,0.1898,0.1128,0.0094,0.047,0.1057,0.011,0.0013,0.0283,0.2072,0.0038,0.1409,0.1363
III,0.087,0.1369,0.3471,0.1034,0.0986,0.1172,0.0053,0.0076,0.053,0.0379,0.0,0.0061
IV,0.2546,0.0368,0.0149,0.4325,0.1036,0.0302,0.0,0.0007,0.0547,0.0061,0.0105,0.0488
bV,0.1152,0.1296,0.0,0.213,0.25,0.0278,0.0352,0.0185,0.0,0.1495,0.0581,0.0031
V,0.4296,0.0234,0.0197,0.0635,0.3694,0.0167,0.0019,0.0006,0.0102,0.003,0.0254,0.0156
bVI,0.2125,0.0038,0.0009,0.076,0.2016,0.0147,0.0096,0.1018,0.0657,0.0055,0.2569,0.0481
VI,0.0821,0.161,0.0191,0.1953,0.0497,0.3841,0.0118,0.0,0.001,0.0041,0.0213,0.0664
bVII,0.2044,0.0126,0.0,0.1017,0.1134,0.0272,0.0043,0.0008,0.1411,0.0,0.1135,0.2774
VII,0.125,0.05,0.2,0.0,0.1,0.1,0.2125,0.0,0.0,0.1125,0.1,0.0
