ConfidenceIntervalTransitionalProbabilitiestableFor-output8cluster5of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3212-0.4389,0.0105-0.0477,-0.001-0.0057,0.0663-0.1429,0.0348-0.1152,-0.0008-0.0424,-0.0005-0.0016,-0.0028-0.0271,0.0268-0.0937,-0.0009-0.0026,0.0851-0.1821,0.1164-0.2315
bII,0.1106-0.6289,-0.0029-0.0078,-0.0453-0.1223,-0.0907-0.2445,0.0-0.0,0.0-0.0,0.0-0.0,0.0284-0.3617,-0.0093-0.4719,0.0-0.0,-0.0263-0.071,-0.0176-0.0682
II,0.0886-0.3095,0.0698-0.2829,0.0-0.0,-0.0102-0.2197,0.1228-0.4846,0.0-0.0,0.0-0.0,0.0-0.0,0.0051-0.2689,0.0-0.0,-0.0185-0.0805,-0.0462-0.1426
bIII,0.0143-0.0894,-0.0155-0.0893,-0.0015-0.0045,0.149-0.3515,0.0005-0.0964,-0.0023-0.007,0.0-0.0,-0.0046-0.0477,0.0434-0.1542,0.0-0.0,0.0472-0.2009,0.2417-0.4811
III,0.0-0.0,-0.0149-0.4725,0.0405-0.414,-0.0236-0.4664,-0.021-0.0544,-0.0141-0.1925,-0.0316-0.0816,-0.102-0.352,-0.0631-0.1631,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.1478-0.3022,-0.0-0.0568,-0.0008-0.048,0.1443-0.2669,0.0951-0.2371,-0.0004-0.0013,0.0-0.0,-0.0012-0.0199,0.0492-0.1543,0.0-0.0,0.075-0.2218,0.0329-0.1359
bV,0.0-0.0,0.0-0.0,0.0-0.0,1.0-1.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.4152-0.6101,-0.0055-0.0258,-0.0061-0.0281,0.031-0.1386,0.1085-0.2415,-0.0028-0.0245,0.0-0.0,0.0-0.0,-0.0046-0.0203,0.0-0.0,0.056-0.2054,0.0076-0.0556
bVI,0.032-0.1176,-0.0015-0.0045,0.0-0.0,0.0038-0.0835,0.0613-0.1949,-0.014-0.0523,-0.0018-0.0055,-0.0078-0.0234,0.0162-0.0745,-0.003-0.0089,0.0326-0.1037,0.5116-0.7015
VI,-0.0304-0.2543,-0.0192-0.2024,-0.0296-0.0806,-0.0072-0.4358,-0.0491-0.211,-0.023-0.2814,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0032-0.1964,0.0032-0.4968
bVII,0.5793-0.7141,-0.0019-0.0056,0.0-0.0,0.0383-0.1035,0.0018-0.0621,-0.0015-0.0104,-0.0037-0.0139,0.0005-0.0103,0.0155-0.0536,-0.0004-0.0012,0.0563-0.1353,0.0593-0.1292
VII,-0.4187-1.4187,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
