meanTransistionProbabilitiestableFor-output7cluster5of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3152,0.0579,0.0229,0.268,0.1023,0.0382,0.0,0.0012,0.0223,0.0007,0.0057,0.1571
bII,0.1905,0.0714,0.0238,0.0,0.0476,0.0,0.0,0.1667,0.0,0.2524,0.2476,0.0
II,0.1698,0.1256,0.0656,0.208,0.3342,0.0605,0.0034,0.0,0.007,0.0,0.0,0.026
bIII,0.1875,0.127,0.0071,0.2674,0.0705,0.0,0.0357,0.0,0.091,0.0,0.0767,0.1371
III,0.0401,0.2004,0.1246,0.2267,0.134,0.1288,0.0769,0.0,0.0577,0.0,0.0043,0.0041
IV,0.5264,0.0259,0.0269,0.1322,0.1678,0.0272,0.0015,0.0005,0.0135,0.0016,0.0085,0.065
bV,0.0,0.0,0.17,0.3333,0.0,0.1667,0.1042,0.1009,0.0417,0.0417,0.0417,0.0
V,0.3339,0.0366,0.0268,0.1606,0.2758,0.0475,0.0004,0.001,0.025,0.0018,0.0319,0.0514
bVI,0.1001,0.04,0.0,0.0351,0.1487,0.06,0.0031,0.0423,0.1771,0.0462,0.1369,0.2105
VI,0.0814,0.1648,0.0852,0.2478,0.1501,0.0786,0.0002,0.0,0.0,0.0,0.0351,0.1568
bVII,0.0503,0.0097,0.0,0.8266,0.04,0.0114,0.004,0.0,0.012,0.0,0.0157,0.0303
VII,0.4,0.0,0.125,0.05,0.05,0.037,0.1245,0.0,0.0808,0.1,0.0077,0.0
