meanTransistionProbabilitiestableFor-output12cluster12of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.5882,0.0024,0.0009,0.1546,0.1572,0.0117,0.0,0.0,0.0069,0.0003,0.0094,0.0652
bII,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
II,0.1671,0.2686,0.0571,0.03,0.0486,0.3286,0.0,0.0,0.0,0.0,0.0,0.1
bIII,0.2312,0.0,0.0,0.0204,0.1111,0.0,0.0,0.0741,0.1357,0.0,0.1936,0.2238
III,0.3333,0.5,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IV,0.5044,0.0095,0.0022,0.2567,0.0648,0.0137,0.0,0.0053,0.0492,0.0059,0.0323,0.056
bV,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
V,0.0465,0.0027,0.0,0.8826,0.034,0.0053,0.0,0.0,0.0,0.0024,0.0066,0.0108
bVI,0.0385,0.0,0.0,0.3347,0.3195,0.0,0.0,0.0,0.1111,0.0,0.0912,0.1049
VI,0.0654,0.0208,0.0,0.443,0.0812,0.2646,0.0,0.0,0.0,0.0,0.0,0.125
bVII,0.5484,0.0,0.0,0.0715,0.0279,0.0,0.0,0.0,0.1382,0.0,0.0748,0.1338
VII,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
