meanTransistionProbabilitiestableFor-output10cluster6of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2513,0.0465,0.0116,0.443,0.1573,0.0266,0.0012,0.001,0.0325,0.0,0.0066,0.015
bII,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.1776,0.1599,0.25
II,0.2081,0.1109,0.0482,0.3689,0.1001,0.0038,0.0,0.0267,0.0667,0.0,0.0,0.0667
bIII,0.1766,0.15,0.0042,0.0792,0.0979,0.0,0.0,0.0295,0.1135,0.025,0.2943,0.0214
III,0.0275,0.1788,0.1197,0.3826,0.0637,0.1087,0.0588,0.0,0.0588,0.0,0.0,0.0
IV,0.7438,0.0219,0.0178,0.0762,0.0905,0.0094,0.0,0.0,0.005,0.0,0.0111,0.0194
bV,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.4667,0.0,0.0,0.2,0.1667
V,0.5379,0.043,0.0057,0.1138,0.1766,0.0871,0.0,0.0,0.0017,0.0023,0.0124,0.0025
bVI,0.1503,0.0,0.0022,0.1214,0.1716,0.0,0.0,0.123,0.0804,0.0251,0.0804,0.2427
VI,0.2336,0.1406,0.1532,0.2031,0.0565,0.0976,0.0,0.0333,0.0,0.0,0.0112,0.0688
bVII,0.2634,0.003,0.0,0.1222,0.2935,0.0966,0.0577,0.0,0.011,0.0,0.036,0.103
VII,0.1032,0.0,0.0952,0.0,0.0,0.0952,0.1667,0.0,0.1111,0.0,0.0,0.4286
