ConfidenceIntervalTransitionalProbabilitiestableFor-output4cluster3of4.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2516-0.3334,0.0561-0.1192,0.013-0.0527,0.2043-0.2867,0.1067-0.1934,0.0993-0.1795,-0.0009-0.0076,0.0-0.0,-0.0025-0.0151,0.0-0.0,0.0052-0.0311,0.006-0.0376
bII,0.0898-1.0136,-0.0508-0.1079,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0886-0.4443,-0.1523-0.3237,-0.0368-0.0781,0.0-0.0,-0.1404-0.3976
II,0.181-0.3313,0.0923-0.185,0.0343-0.1253,0.1337-0.2687,0.1616-0.2746,0.0202-0.0923,-0.0092-0.0277,-0.006-0.018,-0.0004-0.0022,-0.0054-0.0186,-0.0005-0.0015,-0.003-0.0543
bIII,-0.0395-0.1333,0.0063-0.2923,-0.0129-0.0629,0.1207-0.4932,-0.016-0.0643,-0.04-0.1326,0.0-0.0,-0.0445-0.1279,0.0239-0.242,-0.0178-0.0511,0.0165-0.2788,-0.0358-0.14
III,0.0043-0.0573,0.1458-0.3228,0.0413-0.1334,0.2019-0.4005,0.026-0.1439,0.1274-0.2911,0.0-0.0,-0.0038-0.0207,-0.0086-0.0621,-0.0079-0.0238,0.0-0.0,-0.0079-0.0238
IV,0.086-0.1379,0.023-0.0714,0.021-0.0709,0.085-0.1421,0.5743-0.6825,0.0082-0.0326,0.0-0.0,0.0-0.0,0.0002-0.0083,-0.001-0.0031,-0.0016-0.0137,0.0023-0.0392
bV,-0.3553-0.7553,0.0-0.0,-0.3553-0.7553,-0.3553-0.7553,-0.1776-0.3776,0.0-0.0,-0.1776-0.3776,-0.3553-0.7553,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5429-0.6373,0.0103-0.0357,0.0078-0.0361,0.0937-0.1517,0.1216-0.1774,0.0312-0.0648,-0.0003-0.001,-0.0019-0.0075,-0.0024-0.0196,0.0-0.0,0.0023-0.0175,0.0018-0.0109
bVI,0.036-0.3129,0.0-0.0,0.0-0.0,-0.0073-0.1981,0.1821-0.5298,-0.0343-0.1943,0.0-0.0,-0.0426-0.1226,-0.0213-0.0613,0.0-0.0,-0.0181-0.1739,0.0308-0.2819
VI,0.0328-0.0989,0.0363-0.1109,0.0291-0.0864,0.3391-0.4941,0.1249-0.2624,0.1149-0.2045,-0.0037-0.0213,-0.0104-0.0314,-0.0016-0.0048,-0.0008-0.0025,-0.0038-0.0188,-0.0013-0.0039
bVII,0.1399-0.3883,-0.0115-0.0671,-0.0286-0.0842,0.0653-0.336,0.0341-0.233,-0.0127-0.1182,-0.0196-0.1377,0.0-0.0,-0.0025-0.1691,0.0-0.0,0.0191-0.1462,0.0058-0.1309
VII,-0.0329-0.6533,-0.0353-0.165,-0.0813-0.2585,-0.1101-0.5256,-0.0875-0.4209,0.0-0.0,-0.053-0.2474,0.0-0.0,-0.0353-0.165,0.0-0.0,0.0-0.0,0.0-0.0
