meanTransistionProbabilitiestableFor-output11cluster1of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.6587,0.0285,0.006,0.0993,0.0858,0.0326,0.0002,0.0018,0.0209,0.0002,0.0252,0.0333
bII,0.4025,0.1471,0.0,0.0116,0.1553,0.0,0.0,0.1676,0.0184,0.0106,0.0347,0.05
II,0.2643,0.2892,0.0551,0.0432,0.1164,0.0521,0.0,0.0775,0.0085,0.0,0.003,0.0877
bIII,0.2068,0.1034,0.0094,0.03,0.103,0.011,0.0013,0.0283,0.2317,0.0038,0.1668,0.098
III,0.0957,0.1173,0.3651,0.097,0.1085,0.1289,0.0058,0.0083,0.025,0.0417,0.0,0.0067
IV,0.2453,0.0308,0.0139,0.432,0.109,0.0299,0.0,0.0007,0.0579,0.0056,0.0108,0.0566
bV,0.0671,0.1458,0.0,0.2396,0.2188,0.0313,0.0396,0.0208,0.0,0.1682,0.0654,0.0035
V,0.4247,0.0219,0.0204,0.0719,0.3637,0.0171,0.0019,0.0007,0.0105,0.0026,0.0276,0.0161
bVI,0.1889,0.0038,0.0009,0.0784,0.2004,0.0159,0.0096,0.0744,0.0622,0.0055,0.2709,0.0862
VI,0.0787,0.1544,0.0183,0.1669,0.1089,0.3685,0.0113,0.0,0.001,0.0039,0.0204,0.0637
bVII,0.1707,0.0128,0.0,0.1006,0.1214,0.0277,0.0044,0.0009,0.1411,0.0,0.1251,0.2918
VII,0.125,0.05,0.2,0.0,0.1,0.1,0.2125,0.0,0.0,0.1125,0.1,0.0
