meanTransistionProbabilitiestableFor-output2cluster1of2.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.4747,0.0298,0.011,0.1864,0.1244,0.0231,0.0003,0.0035,0.0291,0.0004,0.0366,0.0729
bII,0.3436,0.0424,0.0142,0.0515,0.0787,0.0,0.0,0.1282,0.0693,0.0851,0.0917,0.0838
II,0.2441,0.1918,0.0565,0.1632,0.1245,0.0684,0.0009,0.0363,0.0329,0.0089,0.0065,0.065
bIII,0.1353,0.0703,0.0054,0.2357,0.0759,0.0044,0.0064,0.0241,0.1249,0.009,0.1396,0.1651
III,0.0489,0.189,0.1973,0.2823,0.0685,0.1079,0.0207,0.0185,0.0463,0.0123,0.0014,0.0038
IV,0.4612,0.0161,0.0111,0.2395,0.1223,0.0192,0.0,0.002,0.0436,0.0029,0.0298,0.0477
bV,0.1072,0.0263,0.0033,0.2763,0.2105,0.0132,0.0331,0.1336,0.0329,0.0642,0.0715,0.0278
V,0.3626,0.0283,0.012,0.2233,0.2415,0.0376,0.0009,0.0002,0.0133,0.0024,0.0405,0.0223
bVI,0.1345,0.0012,0.0006,0.0797,0.1842,0.0247,0.0053,0.0575,0.0778,0.0108,0.1374,0.2849
VI,0.1118,0.0922,0.0771,0.1834,0.1789,0.2002,0.0068,0.0,0.0003,0.0007,0.0316,0.1151
bVII,0.3436,0.0081,0.0,0.2569,0.0804,0.0243,0.009,0.0019,0.0664,0.0001,0.0753,0.1289
VII,0.3185,0.0369,0.0536,0.0714,0.0536,0.0846,0.2084,0.0,0.0408,0.0759,0.0027,0.0357
