meanTransistionProbabilitiestableFor-output5cluster1of5.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.6243,0.0404,0.0152,0.1102,0.093,0.0426,0.002,0.0024,0.0181,0.0005,0.0168,0.0278
bII,0.4288,0.0691,0.0,0.0277,0.1776,0.0,0.0,0.1225,0.0135,0.0078,0.0767,0.075
II,0.2337,0.2763,0.0684,0.071,0.1512,0.0681,0.0,0.0524,0.006,0.0081,0.0018,0.0602
bIII,0.1842,0.1381,0.0077,0.1428,0.0742,0.009,0.001,0.0333,0.1983,0.0038,0.1191,0.0853
III,0.0754,0.1324,0.2428,0.1793,0.0922,0.1619,0.0289,0.0043,0.056,0.0216,0.0,0.0053
IV,0.2538,0.0403,0.0192,0.3988,0.1245,0.0308,0.0,0.0005,0.0488,0.0052,0.0102,0.0621
bV,0.1463,0.1111,0.0,0.2778,0.2143,0.0238,0.0302,0.0159,0.0,0.1281,0.0498,0.0026
V,0.4221,0.0266,0.0227,0.084,0.3515,0.0236,0.0014,0.0005,0.0132,0.0022,0.0247,0.0138
bVI,0.1954,0.0033,0.0008,0.1196,0.2136,0.0305,0.0083,0.0954,0.0444,0.0048,0.2311,0.0505
VI,0.0647,0.1554,0.055,0.159,0.1498,0.3083,0.0094,0.0125,0.0006,0.0036,0.0152,0.064
bVII,0.1279,0.0112,0.0,0.215,0.1256,0.0455,0.0035,0.0007,0.1429,0.0,0.0905,0.2373
VII,0.1167,0.0333,0.2778,0.0,0.0667,0.1375,0.2264,0.0,0.0,0.075,0.0667,0.0
