meanTransistionProbabilitiestableFor-output6cluster2of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2919,0.0829,0.0393,0.2599,0.1351,0.1202,0.0158,0.003,0.0132,0.0086,0.0036,0.0227
bII,0.3186,0.3529,0.0,0.0637,0.0626,0.0,0.0226,0.052,0.0686,0.0588,0.0,0.0
II,0.0596,0.0978,0.0355,0.0355,0.7278,0.0167,0.0074,0.0045,0.0019,0.0024,0.0052,0.0034
bIII,0.0559,0.2232,0.0364,0.202,0.1669,0.0,0.0,0.0168,0.1064,0.0013,0.0893,0.1018
III,0.0268,0.0915,0.075,0.1662,0.0547,0.5355,0.0149,0.0103,0.0112,0.0071,0.0,0.0054
IV,0.3297,0.09,0.0875,0.171,0.2169,0.0118,0.0006,0.0,0.0175,0.0162,0.0064,0.0426
bV,0.1801,0.0538,0.0161,0.2153,0.3159,0.0,0.1304,0.0,0.0323,0.0273,0.0288,0.0
V,0.5588,0.0638,0.0344,0.0912,0.1654,0.0476,0.0026,0.0004,0.0033,0.0037,0.009,0.0064
bVI,0.3266,0.0256,0.0,0.0675,0.2197,0.0769,0.0,0.0299,0.0812,0.0082,0.0706,0.0937
VI,0.083,0.5008,0.0605,0.158,0.0623,0.1101,0.0126,0.0039,0.001,0.0007,0.0026,0.0035
bVII,0.1788,0.0547,0.023,0.1037,0.0772,0.2397,0.0443,0.0156,0.1127,0.0,0.0397,0.0995
VII,0.1551,0.0511,0.4679,0.0022,0.0096,0.0479,0.0806,0.0258,0.0323,0.0161,0.0,0.1114
