meanTransistionProbabilitiestableFor-output8cluster1of8.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3187,0.0629,0.0223,0.237,0.122,0.0395,0.0,0.0013,0.0236,0.0008,0.0053,0.158
bII,0.1905,0.0714,0.0238,0.0,0.0476,0.0,0.0,0.1667,0.0,0.2524,0.2476,0.0
II,0.151,0.1195,0.0624,0.1735,0.4015,0.0576,0.0033,0.0,0.0066,0.0,0.0,0.0248
bIII,0.1826,0.0983,0.0077,0.2687,0.076,0.0,0.0385,0.0,0.098,0.0,0.0826,0.1477
III,0.0434,0.1963,0.1245,0.204,0.1288,0.15,0.0833,0.0,0.0625,0.0,0.0046,0.0
IV,0.5227,0.0285,0.0294,0.1274,0.1703,0.0291,0.0016,0.0005,0.0147,0.0018,0.0078,0.0628
bV,0.0,0.0,0.17,0.3333,0.0,0.1667,0.1042,0.1009,0.0417,0.0417,0.0417,0.0
V,0.3317,0.0494,0.0203,0.1685,0.2564,0.0457,0.0004,0.001,0.0262,0.0019,0.0335,0.0571
bVI,0.1072,0.0476,0.0,0.0418,0.1294,0.0715,0.0037,0.0504,0.2108,0.0549,0.1392,0.1435
VI,0.0864,0.2144,0.0808,0.2078,0.1293,0.0858,0.0002,0.0,0.0,0.0,0.027,0.1682
bVII,0.0343,0.0106,0.0,0.8797,0.016,0.0056,0.0043,0.0,0.0106,0.0,0.0135,0.0254
VII,0.4,0.0,0.125,0.05,0.05,0.037,0.1245,0.0,0.0808,0.1,0.0077,0.0
