ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster2of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.1608-0.2838,0.0341-0.1056,0.0133-0.0627,0.1823-0.3431,0.1113-0.259,0.0916-0.2302,-0.0008-0.0078,-0.0015-0.0085,-0.0024-0.0344,-0.0108-0.0321,-0.0-0.0055,-0.0058-0.0419
bII,-0.0456-1.5456,-0.5456-1.0456,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
II,0.0063-0.0876,0.0617-0.1637,0.0041-0.0635,0.0289-0.1183,0.5849-0.7756,-0.0022-0.0675,-0.0011-0.0034,-0.0029-0.0162,0.0-0.0,-0.0011-0.0034,0.0-0.0,-0.0081-0.024
bIII,-0.0689-0.1641,-0.1505-0.6505,0.0-0.0,-0.1242-0.5454,-0.0276-0.0657,0.0-0.0,0.0-0.0,0.0-0.0,-0.0827-0.197,0.0-0.0,-0.0394-0.387,-0.112-0.5955
III,-0.0426-0.1226,0.0666-0.3634,-0.0065-0.1411,0.0557-0.2905,-0.0097-0.1268,0.2175-0.4972,-0.0213-0.0613,-0.0426-0.1226,0.0-0.0,-0.0093-0.0266,0.0-0.0,-0.0213-0.0613
IV,0.2227-0.4168,-0.0032-0.0769,0.0307-0.2006,0.0909-0.1939,0.1915-0.4012,-0.0053-0.0233,-0.0022-0.0065,0.0-0.0,-0.0044-0.0131,-0.0067-0.0259,-0.0013-0.0204,-0.0016-0.1087
bV,-0.2086-0.8753,0.0-0.0,0.0-0.0,-0.2086-0.8753,-0.2618-0.5951,0.0-0.0,-0.2618-0.5951,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5605-0.7075,0.0116-0.0628,0.0021-0.0457,0.0791-0.1783,0.0822-0.1596,0.011-0.0488,-0.0006-0.0018,0.0-0.0,-0.0013-0.0112,-0.0008-0.0023,-0.0018-0.0107,-0.0027-0.0161
bVI,0.0205-0.6462,0.0-0.0,0.0-0.0,0.0-0.0,-0.0374-0.5374,-0.0807-0.414,0.0-0.0,0.0-0.0,-0.0701-0.1867,0.0-0.0,-0.03-0.08,-0.0807-0.414
VI,-0.0008-0.0039,0.8304-0.9374,-0.003-0.0443,-0.0054-0.0249,0.0156-0.0925,0.0032-0.0496,-0.0011-0.0032,0.0-0.0,-0.0027-0.008,0.0-0.0,0.0-0.0,0.0-0.0
bVII,0.0006-0.2431,-0.06-0.2743,0.0-0.0,-0.0576-0.3592,-0.0304-0.1336,0.074-0.5712,0.0-0.0,0.0-0.0,0.031-0.3897,0.0-0.0,0.0-0.0,-0.0414-0.1129
VII,-0.2618-0.5951,-0.2618-0.5951,-0.1328-0.555,-0.0175-0.0397,0.0-0.0,0.0-0.0,-0.0695-0.2918,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.2086-0.8753
