ConfidenceIntervalTransitionalProbabilitiestableFor-output6cluster4of6.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2541-0.3696,0.0211-0.0925,0.0071-0.027,0.2173-0.3567,0.0638-0.1464,0.0064-0.0688,-0.0011-0.0034,-0.0003-0.0012,-0.003-0.0476,-0.0007-0.0022,0.001-0.0095,0.0904-0.2024
bII,-0.2618-0.5951,-0.1309-0.2975,-0.0436-0.0992,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.063-0.4519,0.0-0.0,-0.0486-0.6375,-0.1951-0.6618,0.0-0.0
II,0.0762-0.2527,0.0614-0.1891,-0.0033-0.1346,0.0839-0.2913,0.2745-0.4993,-0.0073-0.0922,-0.0032-0.0096,0.0-0.0,-0.0015-0.0076,0.0-0.0,0.0-0.0,0.0006-0.0405
bIII,0.041-0.33,0.0012-0.2833,0.0-0.0,0.0973-0.4216,-0.0187-0.1527,0.0-0.0,-0.0426-0.1226,0.0-0.0,0.0213-0.1736,0.0-0.0,-0.0094-0.1812,-0.0002-0.2451
III,-0.0053-0.0153,0.0699-0.3615,0.0263-0.1712,0.0598-0.383,0.0122-0.2423,0.0639-0.315,-0.022-0.182,0.0-0.0,-0.0307-0.1507,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.4773-0.6057,0.0117-0.0413,0.0036-0.0508,0.0867-0.1589,0.1132-0.2157,0.0009-0.0461,-0.0015-0.0044,-0.0005-0.0015,-0.0008-0.0281,0.0-0.0,0.0018-0.0155,0.0359-0.0973
bV,0.0-0.0,0.0-0.0,-0.2802-0.6881,-0.3553-0.7553,0.0-0.0,-0.3553-0.7553,-0.2221-0.4721,-0.148-0.3901,-0.0888-0.1888,-0.0888-0.1888,-0.0888-0.1888,0.0-0.0
V,0.2812-0.4208,0.0118-0.0741,0.0022-0.0355,0.101-0.215,0.2019-0.3209,0.0261-0.0778,0.0-0.0,-0.001-0.0029,0.0015-0.0477,-0.0017-0.0052,-0.0049-0.0652,0.021-0.0814
bVI,0.0042-0.2055,-0.0467-0.1336,0.0-0.0,-0.034-0.1103,0.0143-0.301,-0.0323-0.1549,-0.0036-0.0103,-0.0259-0.1179,-0.0094-0.2876,-0.0404-0.1408,0.0303-0.2239,0.063-0.3947
VI,0.0232-0.1574,0.0727-0.2856,0.0167-0.1534,0.0864-0.3041,0.0678-0.2692,0.0338-0.1414,-0.0002-0.0007,0.0-0.0,0.0-0.0,0.0-0.0,-0.0215-0.088,0.0484-0.2729
bVII,0.0215-0.0752,-0.0048-0.0245,0.0-0.0,0.793-0.8918,0.013-0.0745,0.0007-0.0297,-0.0008-0.0067,0.0-0.0,-0.0017-0.0095,0.0-0.0,-0.0042-0.0229,0.0053-0.0435
VII,0.0713-0.7287,0.0-0.0,-0.0475-0.4975,-0.0631-0.1631,0.0-0.0,-0.0325-0.1065,-0.0227-0.2717,0.0-0.0,-0.0388-0.1004,-0.1262-0.3262,-0.0097-0.0251,0.0-0.0
