ConfidenceIntervalTransitionalProbabilitiestableFor-output12cluster9of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2233-0.3487,0.0365-0.142,0.0017-0.0721,0.1697-0.2866,0.0658-0.1845,0.1218-0.2594,-0.0022-0.009,0.0-0.0,-0.0008-0.0036,0.0-0.0,-0.0001-0.04,-0.0002-0.0357
bII,-0.0655-0.9448,-0.0779-0.1494,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.1272-0.5717,-0.2338-0.4481,-0.0564-0.1082,0.0-0.0,-0.2148-0.5362
II,0.0724-0.2663,0.0411-0.1767,0.0223-0.2033,0.1356-0.3826,0.1126-0.2977,-0.0003-0.0835,-0.0214-0.063,-0.0139-0.0409,0.0-0.0,-0.0139-0.0409,-0.0012-0.0034,-0.0101-0.1184
bIII,-0.0125-0.0333,-0.0284-0.4589,-0.04-0.1067,-0.05-0.1334,-0.0361-0.1327,-0.1001-0.2667,0.0-0.0,-0.1001-0.2667,0.0272-0.4379,-0.04-0.1067,-0.0396-0.3932,-0.025-0.0667
III,-0.0042-0.0877,0.116-0.4154,0.0318-0.1977,0.037-0.239,0.0056-0.2038,0.1106-0.3604,0.0-0.0,-0.0093-0.0488,-0.0358-0.1166,-0.0195-0.0566,0.0-0.0,-0.0195-0.0566
IV,0.0327-0.0826,0.005-0.0401,0.0083-0.0427,0.0314-0.0874,0.7647-0.8703,-0.0002-0.0117,0.0-0.0,0.0-0.0,-0.0014-0.0043,0.0-0.0,-0.0012-0.0036,-0.0055-0.0237
bV,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,-0.5504-0.8838,0.0-0.0,-0.5504-0.8838,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
V,0.5796-0.7069,0.0033-0.0176,0.0018-0.0351,0.0859-0.1793,0.0711-0.1397,0.0293-0.0878,0.0-0.0,-0.0041-0.0158,-0.0014-0.0084,0.0-0.0,0.0034-0.0275,-0.0012-0.0061
bVI,-0.0008-0.4033,0.0-0.0,0.0-0.0,-0.0273-0.0986,0.1704-0.6163,-0.0531-0.2884,0.0-0.0,-0.0659-0.1835,-0.0329-0.0918,0.0-0.0,-0.0483-0.2185,-0.0265-0.184
VI,0.0426-0.1548,0.0431-0.1342,0.0037-0.0622,0.4021-0.6159,0.0246-0.0936,0.1149-0.2433,-0.0103-0.0307,0.0-0.0,-0.0032-0.0095,-0.0017-0.0049,-0.0076-0.0367,-0.0026-0.0077
bVII,0.0928-0.4697,-0.0382-0.1048,0.0-0.0,-0.0763-0.2097,-0.042-0.2461,-0.0568-0.2435,-0.0678-0.2178,0.0-0.0,-0.0337-0.3671,0.0-0.0,-0.0119-0.1252,-0.0131-0.2631
VII,-0.1733-0.8816,0.0-0.0,-0.0341-0.0776,-0.1968-0.82,-0.212-0.6287,0.0-0.0,-0.0982-0.2232,0.0-0.0,-0.0654-0.1488,0.0-0.0,0.0-0.0,0.0-0.0
