meanTransistionProbabilitiestableFor-output10cluster1of10.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.372,0.0355,0.0116,0.1508,0.1269,0.0072,0.006,0.0116,0.1475,0.0018,0.027,0.0889
bII,0.582,0.0,0.0,0.0,0.125,0.0,0.0,0.0282,0.0202,0.0,0.1196,0.125
II,0.2313,0.0455,0.0,0.1052,0.3345,0.0925,0.0,0.075,0.1006,0.0,0.0,0.0154
bIII,0.029,0.0135,0.0054,0.8795,0.018,0.0,0.0,0.0125,0.0219,0.0,0.0,0.0202
III,0.3056,0.0,0.1204,0.1204,0.0,0.0833,0.0,0.0,0.3333,0.0,0.037,0.0
IV,0.3579,0.0175,0.0054,0.1346,0.1943,0.0078,0.0,0.0039,0.1228,0.0059,0.0732,0.0756
bV,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,0.5059,0.0744,0.0,0.076,0.1574,0.0,0.0009,0.0,0.0851,0.0067,0.061,0.0162
bVI,0.1812,0.0,0.0,0.102,0.35,0.0642,0.0147,0.112,0.0634,0.0,0.0533,0.0592
VI,0.1111,0.0833,0.0769,0.3389,0.0,0.0778,0.0556,0.0,0.0,0.0,0.0,0.2564
bVII,0.2921,0.0217,0.0,0.222,0.0797,0.0027,0.0033,0.0,0.0977,0.0,0.1421,0.1299
VII,0.4167,0.0086,0.0,0.0,0.125,0.0,0.2414,0.0,0.2083,0.0,0.0,0.0
