meanTransistionProbabilitiestableFor-output7cluster1of7.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3851,0.0299,0.0026,0.1192,0.0783,0.0195,0.0005,0.011,0.0511,0.0008,0.1242,0.1715
bII,0.3076,0.0023,0.0357,0.0714,0.0,0.0,0.0,0.1454,0.2148,0.0714,0.0207,0.095
II,0.1982,0.1646,0.0,0.104,0.2647,0.0629,0.0,0.0,0.1159,0.0,0.0297,0.06
bIII,0.0735,0.0341,0.0014,0.2345,0.064,0.0021,0.0,0.0199,0.0858,0.0,0.1272,0.3531
III,0.0278,0.274,0.2172,0.1845,0.0139,0.1021,0.0208,0.1042,0.0417,0.0,0.0,0.0
IV,0.2583,0.0318,0.0218,0.1941,0.1543,0.0004,0.0,0.011,0.0995,0.0023,0.1281,0.0923
bV,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
V,0.4194,0.0088,0.0095,0.2031,0.1549,0.0109,0.0,0.0,0.0068,0.0,0.129,0.0342
bVI,0.0748,0.0015,0.0,0.0819,0.1042,0.0205,0.0018,0.0131,0.0621,0.0029,0.0595,0.5776
VI,0.0932,0.1114,0.0476,0.25,0.066,0.1066,0.0,0.0,0.0,0.0,0.0751,0.25
bVII,0.679,0.0017,0.0,0.0736,0.0249,0.0039,0.0046,0.0043,0.0441,0.0004,0.0776,0.0775
VII,0.5,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
