meanTransistionProbabilitiestableFor-output12cluster1of12.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2538,0.0833,0.0567,0.2677,0.1051,0.1379,0.0363,0.0039,0.0154,0.0143,0.0024,0.0206
bII,0.1875,0.375,0.0,0.0,0.125,0.0,0.0,0.0625,0.125,0.125,0.0,0.0
II,0.1447,0.1376,0.0727,0.029,0.5458,0.0311,0.0168,0.0031,0.0014,0.0049,0.0051,0.0023
bIII,0.047,0.3141,0.0154,0.0659,0.2308,0.0,0.0,0.0171,0.1317,0.0033,0.1234,0.0513
III,0.0152,0.029,0.0423,0.0383,0.0118,0.8419,0.0,0.0,0.0191,0.0,0.0,0.0
IV,0.3468,0.1047,0.11,0.1817,0.1731,0.0095,0.0,0.0,0.0063,0.0087,0.0045,0.0534
bV,0.0682,0.0606,0.0,0.2431,0.3297,0.0,0.2312,0.0,0.0,0.0316,0.0356,0.0
V,0.5313,0.0343,0.0727,0.0549,0.2152,0.0496,0.0044,0.001,0.0029,0.0068,0.0089,0.0099
bVI,0.4634,0.0714,0.0,0.0714,0.0893,0.0,0.0,0.0119,0.0357,0.023,0.1395,0.0944
VI,0.1463,0.3232,0.0488,0.2211,0.0606,0.1612,0.0196,0.0085,0.0,0.0016,0.0043,0.0016
bVII,0.2648,0.0193,0.0516,0.1083,0.062,0.2619,0.0198,0.0,0.0612,0.0,0.0201,0.1071
VII,0.0556,0.0694,0.6159,0.0,0.0166,0.0481,0.0741,0.0,0.0556,0.0,0.0,0.0648
