meanTransistionProbabilitiestableFor-output11cluster9of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.2772,0.0404,0.0072,0.4343,0.1606,0.0275,0.0013,0.0011,0.0247,0.0,0.0065,0.0124
bII,0.2857,0.0,0.0,0.0,0.0,0.0,0.0,0.0429,0.0,0.2029,0.1828,0.2857
II,0.2113,0.1433,0.0522,0.347,0.0809,0.0,0.0,0.0348,0.0435,0.0,0.0,0.087
bIII,0.1843,0.125,0.0,0.0938,0.1016,0.0,0.0,0.0369,0.1419,0.0313,0.2585,0.0268
III,0.0889,0.2266,0.2137,0.0129,0.1204,0.1128,0.1111,0.0,0.1111,0.0,0.0,0.0
IV,0.7356,0.0205,0.0145,0.0819,0.0975,0.0095,0.0,0.0,0.004,0.0,0.0111,0.0208
bV,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.56,0.0,0.0,0.24,0.0
V,0.5178,0.0223,0.0012,0.149,0.191,0.0767,0.0,0.0,0.0,0.0023,0.0084,0.0138
bVI,0.163,0.0,0.0028,0.076,0.1419,0.0,0.0,0.1615,0.0832,0.0195,0.0921,0.2561
VI,0.2921,0.1158,0.0804,0.2619,0.0728,0.1187,0.0,0.0,0.0,0.0,0.0139,0.0443
bVII,0.3126,0.0,0.0,0.0691,0.3849,0.0641,0.0238,0.0,0.0136,0.0,0.0207,0.1037
VII,0.0714,0.0,0.1429,0.0,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.6429
