ConfidenceIntervalTransitionalProbabilitiestableFor-output11cluster5of11.csv,I,bII,II,bIII,III,IV,bV,V,bVI,VI,bVII,VII
I,0.3101-0.4473,0.0084-0.0576,-0.0014-0.0079,0.0461-0.1153,0.0377-0.1377,0.0002-0.025,-0.0007-0.0022,-0.0071-0.0298,0.0194-0.073,0.0-0.0,0.0933-0.2194,0.1111-0.2606
bII,-0.0667-0.4635,-0.004-0.0104,-0.0631-0.1631,-0.1262-0.3262,0.0-0.0,0.0-0.0,0.0-0.0,-0.0294-0.3913,-0.032-0.601,-0.1262-0.3262,0.0-0.0,-0.0245-0.0903
II,0.0852-0.3779,0.0716-0.3512,0.0-0.0,-0.0384-0.2483,0.0625-0.4992,0.0-0.0,0.0-0.0,0.0-0.0,-0.0226-0.1701,0.0-0.0,-0.0354-0.0979,-0.0666-0.1992
bIII,0.003-0.059,-0.0243-0.0711,-0.0022-0.0066,0.059-0.2573,-0.0164-0.1555,-0.0035-0.0102,0.0-0.0,-0.0137-0.0484,0.0231-0.1639,0.0-0.0,0.0386-0.2302,0.3126-0.6216
III,0.0-0.0,-0.0149-0.4725,0.0405-0.414,-0.0236-0.4664,-0.021-0.0544,-0.0141-0.1925,-0.0316-0.0816,-0.102-0.352,-0.0631-0.1631,0.0-0.0,0.0-0.0,0.0-0.0
IV,0.1483-0.3523,-0.0106-0.0682,-0.0011-0.0709,0.079-0.2194,0.0975-0.2953,-0.0007-0.002,0.0-0.0,-0.0017-0.0321,0.0189-0.1297,0.0-0.0,0.0552-0.2393,0.0213-0.1668
bV,0.0-0.0,0.0-0.0,0.0-0.0,-0.7676-2.1009,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-1.1009-1.7676,0.0-0.0,0.0-0.0,0.0-0.0
V,0.3304-0.5696,-0.0088-0.0364,-0.009-0.0405,0.0348-0.2146,0.0909-0.2547,-0.0041-0.0351,0.0-0.0,0.0-0.0,-0.0028-0.0082,0.0-0.0,0.0655-0.2736,-0.0063-0.047
bVI,0.0181-0.1047,-0.002-0.006,0.0-0.0,0.0031-0.1333,0.0119-0.1073,-0.0189-0.0696,-0.0024-0.0073,0.0-0.0,0.0121-0.0865,-0.004-0.0119,0.013-0.0843,0.5747-0.7837
VI,-0.0335-0.1668,-0.0254-0.2586,-0.0399-0.1048,-0.0501-0.4138,-0.0662-0.2722,-0.0303-0.359,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,-0.0203-0.2359,-0.0482-0.5028
bVII,0.6326-0.7759,0.0-0.0,0.0-0.0,0.0333-0.1152,-0.0012-0.0246,-0.0029-0.0127,-0.0051-0.019,-0.0-0.0129,0.0123-0.0506,-0.0006-0.0017,0.0352-0.1079,0.046-0.1226
VII,-0.4187-1.4187,0.0-0.0,0.0-0.0,-0.2728-0.5228,0.0-0.0,0.0-0.0,-0.2093-0.7093,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0,0.0-0.0
